Name,ID,Team Name
Misbah-ul-Haq,41378,Islamabad United
Asif Ali,494230,Islamabad United
Sam Billings,297628,Islamabad United
Ben Duckett,521637,Islamabad United
Brad Haddin,5560,Islamabad United
Khalid Latif,41046,Islamabad United
Nicholas Pooran,604302,Islamabad United
Sharjeel Khan,227762,Islamabad United
Amad Butt,717373,Islamabad United
Hussain Talat,628240,Islamabad United
Shadab Khan,922943,Islamabad United
Dwayne Smith,53118,Islamabad United
Shane Watson,8180,Islamabad United
Zohaib Khan,43872,Islamabad United
Samuel Badree,51433,Islamabad United
Steven Finn,210283,Islamabad United
Mohammad Irfan,429981,Islamabad United
Mohammad Sami,41324,Islamabad United
Rumman Raees,448243,Islamabad United
Saeed Ajmal,42699,Islamabad United
Imran Khalid,40869,Islamabad United
Kumar Sangakkara,50710,Karachi Kings
Babar Azam,348144,Karachi Kings
Hasan Mohsin,922977,Karachi Kings
Mahela Jayawardene,49289,Karachi Kings
Khurram Manzoor,41140,Karachi Kings
Saifullah Bangash,547095,Karachi Kings
Shahzaib Hasan,370846,Karachi Kings
Ravi Bopara,10582,Karachi Kings
Chris Gayle,51880,Karachi Kings
Imad Wasim,227758,Karachi Kings
Kashif Bhatti,41244,Karachi Kings
Ryan McLaren,46393,Karachi Kings
Kieron Pollard,230559,Karachi Kings
Shoaib Malik,42657,Karachi Kings
Abrar Ahmed,734459,Karachi Kings
Mohammad Amir,290948,Karachi Kings
Rahat Ali,323244,Karachi Kings
Sohail Khan,317252,Karachi Kings
Usama Mir,647667,Karachi Kings
Usman Shinwari,697279,Karachi Kings
Brendon McCullum,37737,Lahore Qalandars
Azhar Ali,39037,Lahore Qalandars
Cameron Delport,322810,Lahore Qalandars
Fakhar Zaman,512191,Lahore Qalandars
Mohammad Rizwan,323389,Lahore Qalandars
Jason Roy,298438,Lahore Qalandars
Saif Badar,922967,Lahore Qalandars
Umar Akmal,317273,Lahore Qalandars
Aamer Yamin,434429,Lahore Qalandars
Grant Elliott,44956,Lahore Qalandars
James Franklin,37004,Lahore Qalandars
Chris Green,787073,Lahore Qalandars
Sunil Narine,230558,Lahore Qalandars
Bilawal Bhatti,343305,Lahore Qalandars
Ghulam Mudassar,938937,Lahore Qalandars
Mohammad Irfan,805925,Lahore Qalandars
Sohail Tanvir,43265,Lahore Qalandars
Usman Qadir,348152,Lahore Qalandars
Yasir Shah,43685,Lahore Qalandars
Zafar Gohar,348154,Lahore Qalandars
Andre Fletcher,51862,Peshawar Zalmi
Haris Sohail,318788,Peshawar Zalmi
Iftikhar Ahmed,480603,Peshawar Zalmi
Kamran Akmal,41028,Peshawar Zalmi
Eoin Morgan,24598,Peshawar Zalmi
Marlon Samuels,52983,Peshawar Zalmi
Sohaib Maqsood,43266,Peshawar Zalmi
Tamim Iqbal,56194,Peshawar Zalmi
Daren Sammy,53115,Peshawar Zalmi
Tillakaratne Dilshan,48472,Peshawar Zalmi
Khushdil Shah,716733,Peshawar Zalmi
Mohammad Hafeez,41434,Peshawar Zalmi
Samit Patel,18632,Peshawar Zalmi
Shahid Afridi,42639,Peshawar Zalmi
Shakib Al Hasan,56143,Peshawar Zalmi
Hasan Ali,681305,Peshawar Zalmi
Imran Khan,783423,Peshawar Zalmi
Chris Jordan,288992,Peshawar Zalmi
Junaid Khan,259551,Peshawar Zalmi
Mohammad Asghar,654261,Peshawar Zalmi
Wahab Riaz,43590,Peshawar Zalmi
Sarfaraz Ahmed,227760,Quetta Gladiators
Ahmed Shehzad,259410,Quetta Gladiators
Asad Shafiq,316397,Quetta Gladiators
Bismillah Khan,394868,Quetta Gladiators
Kevin Pietersen,19296,Quetta Gladiators
Rilee Rossouw,318845,Quetta Gladiators
Umar Amin,288211,Quetta Gladiators
Luke Wright,23460,Quetta Gladiators
Mahmudullah,56025,Quetta Gladiators
Mohammad Nawaz,348148,Quetta Gladiators
Thisara Perera,233514,Quetta Gladiators
Saad Nasim,317248,Quetta Gladiators
Anwar Ali,232491,Quetta Gladiators
Hassan Khan,959789,Quetta Gladiators
Nathan McCullum,37749,Quetta Gladiators
Tymal Mills,459257,Quetta Gladiators
Mir Hamza,556684,Quetta Gladiators
Umar Gul,43524,Quetta Gladiators
Zulfiqar Babar,43871,Quetta Gladiators
Noor Wali,716679,Quetta Gladiators
