Name,ID,Team Name
Asif Ali,494230,Islamabad United
Iftikhar Ahmed,480603,Islamabad United
Usman Khawaja,215155,Islamabad United
Brandon King,670035,Islamabad United
Muhammad Akhlaq,822485,Islamabad United
Colin Munro,232359,Islamabad United
Rohail Nazir,1092313,Islamabad United
Umar Amin,288211,Islamabad United
Alex Hales,249866,Islamabad United
Janneman Malan,605680,Islamabad United
Phil Salt,669365,Islamabad United
Shadab Khan,922943,Islamabad United
Ahmed Safi Abdullah,800983,Islamabad United
Faheem Ashraf,681117,Islamabad United
Hussain Talat,628240,Islamabad United
Zeeshan Zameer,1249881,Islamabad United
Lewis Gregory,362201,Islamabad United
Paul Stirling,303427,Islamabad United
Akif Javed,1203669,Islamabad United
Ali Khan,927119,Islamabad United
Fawad Ahmed,240609,Islamabad United
Mohammad Wasim,1185538,Islamabad United
Muhammad Musa,1072472,Islamabad United
Zafar Gohar,348154,Islamabad United
Hasan Ali,681305,Islamabad United
Chris Jordan,288992,Islamabad United
Reece Topley,461632,Islamabad United
Babar Azam,348144,Karachi Kings
Martin Guptill,226492,Karachi Kings
Mohammad Haris,1205559,Karachi Kings
Najibullah Zadran,524049,Karachi Kings
Sharjeel Khan,227762,Karachi Kings
Chadwick Walton,315586,Karachi Kings
Zeeshan Malik,793413,Karachi Kings
Joe Clarke,571911,Karachi Kings
Colin Ingram,45705,Karachi Kings
Litton Das,536936,Karachi Kings
Imad Wasim,227758,Karachi Kings
Aamer Yamin,434429,Karachi Kings
Danish Aziz,793411,Karachi Kings
Thisara Perera,233514,Karachi Kings
Qasim Akram,1185475,Karachi Kings
Dan Christian,4864,Karachi Kings
Mohammad Nabi,25913,Karachi Kings
Abbas Afridi,1158538,Karachi Kings
Arshad Iqbal,1130463,Karachi Kings
Mohammad Amir,290948,Karachi Kings
Mohammad Ilyas,1159371,Karachi Kings
Noor Ahmad,1182529,Karachi Kings
Waqas Maqsood,533561,Karachi Kings
Tim David,892749,Lahore Qalandars
Ben Dunk,388678,Lahore Qalandars
Fakhar Zaman,512191,Lahore Qalandars
Callum Ferguson,5236,Lahore Qalandars
Mohammad Faizan,1218226,Lahore Qalandars
Muhammad Zaid,1072466,Lahore Qalandars
Zeeshan Ashraf,520183,Lahore Qalandars
Joe Burns,326632,Lahore Qalandars
Joe Denly,12454,Lahore Qalandars
Sohail Akhtar,532424,Lahore Qalandars
Salman Agha,623977,Lahore Qalandars
James Faulkner,270484,Lahore Qalandars
Mohammad Hafeez,41434,Lahore Qalandars
Seekkuge Prasanna,268740,Lahore Qalandars
Rashid Khan,793463,Lahore Qalandars
Tom Abell,462727,Lahore Qalandars
Samit Patel,18632,Lahore Qalandars
Shakib Al Hasan,56143,Lahore Qalandars
David Wiese,221140,Lahore Qalandars
Shaheen Shah Afridi,1072470,Lahore Qalandars
Ahmed Daniyal,1249564,Lahore Qalandars
Dilbar Hussain,1206623,Lahore Qalandars
Haris Rauf,1161606,Lahore Qalandars
