ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder
1175426,6,0.0,2,1,M. Pradesh,Rajkot,2022-10-11,bat,daynight,0,-4,0,0.846,8.11,25.01,1.058,8.11,26.42,0.756,8.03,25.51,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,35.6,24.2,0.0,14.5,1.0,Other,4
1175426,6,0.0,2,1,Bengal,Mohali,2023-10-17,field,day,1,30,0,1.23,8.32,27.96,1.757,8.36,25.29,0.61,8.3,28.75,0.0,1,0,0,1,0.9353,0.9353,1.3382,1.0927,26.3,16.6,0.1,13.8,51.0,Other,4
1175426,6,106.6666667,1,1,Jharkhand,Mullanpur,2023-10-21,field,day,0,21,0,0.647,7.9,18.27,1.714,8.41,17.84,1.333,7.86,22.76,8.0,2,0,0,1,1.5393,1.5393,1.3382,1.0927,29.0,14.8,0.0,7.6,3.0,Other,4
1175426,6,127.7777778,1,1,RCB,Bengaluru,2024-05-04,field,night,0,1,0,1.145,8.59,28.43,0.766,8.77,27.19,0.774,8.74,27.94,7.666666667,3,0,0,1,1.5393,1.5393,1.3382,1.0927,37.8,23.1,0.1,18.2,51.0,IPL,4
1175426,6,120.0,1,0,Hyderabad,Rajkot,2024-11-27,bat,day,1,-2,0,0.846,8.11,25.01,0.944,8.02,23.62,0.756,8.11,24.53,6.0,4,0,0,1,1.5393,1.5393,1.3382,1.0927,31.1,18.3,0.0,11.8,0.0,Other,4
1175426,6,114.2857143,1,1,Punjab,Saurashtra,2024-12-03,bat,day,1,5,0,0.846,8.11,25.01,0.944,8.02,23.62,0.756,8.11,24.53,6.0,5,0,0,1,1.5393,1.7959,1.3382,1.0927,31.0,17.3,0.0,15.0,3.0,Other,4
1175426,6,113.6363636,1,1,Bengal,Rajkot,2024-12-05,field,day,0,27,0,0.846,8.11,25.01,0.608,8.19,27.6,0.756,8.11,24.53,5.0,6,0,0,1,1.5393,1.7959,1.5948,2.1229,31.3,19.6,0.0,12.3,3.0,Other,4
