ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder
714451,6,0.0,1,0,Baroda,Wankhede,2016-01-18,field,day,0,37,0,1.25,8.23,27.2,0.724,8.41,27.14,0.732,8.29,26.23,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,27.4,16.7,0.0,10.5,2.0,Other,3
714451,6,123.5294118,1,0,Baroda,Vadodara,2017-01-29,field,day,0,83,0,1.142,7.47,22.42,0.571,7.6,23.74,0.764,7.44,21.75,21.0,1,0,0,0,2.3917,2.3917,1.3382,2.5491,30.5,14.5,0.0,11.8,0.0,Tournament,2
714451,6,193.3333333,2,1,Gujarat,Vadodara,2017-01-30,field,day,1,18,0,1.142,7.47,22.42,1.75,7.69,22.55,0.764,7.5,22.28,58.0,2,0,0,0,3.2441,3.2441,3.188,1.0927,31.2,14.6,0.0,10.5,0.0,Tournament,2
714451,6,170.0,2,1,Saurashtra,Vadodara,2017-02-01,bat,day,0,25,0,1.142,7.47,22.42,0.6,6.96,19.59,0.764,7.5,22.28,68.0,3,0,0,0,3.2441,3.2441,3.8708,1.0927,30.4,13.4,0.0,10.6,0.0,Tournament,3
714451,6,146.5517241,2,1,Maharashtra,Vadodara,2017-02-02,field,day,1,5,0,1.142,7.47,22.42,1.75,7.69,22.55,0.764,7.5,22.28,42.5,4,0,0,0,3.2441,3.2441,3.7012,1.0927,32.8,14.4,0.0,10.0,0.0,Tournament,2
714451,6,145.7627119,2,1,Baroda,Rajkot,2018-01-07,bat,day,0,71,0,0.846,8.11,25.01,1.058,8.11,26.42,0.756,8.03,25.51,28.66666667,5,0,0,0,2.3917,2.6483,1.3382,3.4015,25.6,11.4,0.0,15.1,0.0,Other,3
714451,6,163.0136986,2,0,Gujarat,Rajkot,2018-01-08,field,day,1,49,0,0.846,8.11,25.01,1.642,7.96,23.0,0.756,8.03,25.51,29.75,6,0,0,0,2.3917,2.6483,3.188,2.1229,26.1,12.1,0.0,13.9,0.0,Other,3
714451,6,167.0588235,1,1,Saurashtra,Rajkot,2018-01-10,bat,day,1,3,0,0.846,8.11,25.01,0.944,8.02,23.62,0.756,8.11,24.53,35.5,7,0,0,0,2.8179,2.6483,3.8708,1.9719,30.5,17.6,0.0,19.5,0.0,Other,3
714451,6,159.3406593,1,0,Jharkhand,Kolkata,2018-01-21,field,day,0,32,0,0.0,9.95,33.33,0.0,9.95,33.33,0.0,9.95,33.16,29.0,8,0,0,0,2.3917,2.2221,1.3382,1.0927,24.8,11.6,0.0,12.4,0.0,Other,3
714451,6,151.3761468,1,1,Punjab,Kolkata,2018-01-22,field,day,0,48,0,0.0,9.95,33.33,0.0,9.95,33.33,0.0,9.95,33.16,33.0,9,0,0,0,2.8179,2.6483,2.7946,1.0927,24.6,11.1,0.0,10.8,0.0,Other,2
714451,6,154.5454545,2,1,Rajasthan,Eden Gardens,2018-01-24,bat,day,0,1,0,1.428,8.06,26.66,1.066,7.63,24.0,0.847,8.09,25.96,31.16666667,10,0,0,0,2.8179,3.0745,1.3382,1.0927,27.7,12.6,0.0,11.5,3.0,Other,3
714451,6,152.8455285,1,1,Karnataka,Eden Gardens,2018-01-25,bat,daynight,1,-1,0,1.428,8.06,26.66,0.937,7.81,23.9,0.847,8.19,24.64,26.85714286,11,0,0,0,2.3917,2.6483,1.4892,1.0927,26.1,15.2,0.0,11.3,0.0,Other,3
714451,6,147.65625,2,1,Vidarbha,Indore,2019-03-11,field,day,1,1,0,1.744,7.74,25.41,1.653,8.26,22.62,0.573,8.17,25.66,23.625,12,0,0,0,2.3917,2.2221,1.3382,1.0927,31.5,19.1,0.0,18.4,1.0,Other,2
