ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder
554691,6,0.0,1,1,Mumbai,Ahmedabad,2013-03-18,bat,day,1,23,0,1.461,8.05,29.93,1.5,8.21,22.78,1.166,8.41,26.11,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,35.2,20.7,0.0,10.3,0.0,Other,3
554691,6,233.3333333,1,1,Baroda,Ahmedabad,2013-03-19,field,night,0,-4,0,1.461,8.05,29.93,1.0,8.54,27.41,1.166,8.41,26.11,7.0,1,0,0,0,1.5393,1.5393,1.9422,1.0927,35.8,21.7,0.0,9.9,0.0,Other,3
554691,6,175.0,1,0,Saurashtra,Ahmedabad,2013-03-22,bat,day,1,83,0,1.461,8.05,29.93,1.5,8.21,22.78,1.166,8.41,26.11,3.5,2,0,0,1,1.5393,1.5393,2.1988,1.0927,34.0,20.8,0.0,10.4,3.0,Other,3
554691,6,185.1851852,2,1,Odisha,Indore,2013-03-26,bat,day,0,-4,0,1.744,7.74,25.41,1.882,8.03,21.01,0.573,8.17,25.66,25.0,3,0,0,1,2.3917,2.3917,1.3382,1.0927,35.9,21.2,0.0,13.1,3.0,Other,3
554691,6,178.5714286,2,1,Delhi,Indore,2013-03-27,field,day,1,31,0,1.744,7.74,25.41,1.653,8.26,22.62,0.573,8.17,25.66,16.66666667,4,0,0,2,1.9655,1.9327,1.3382,1.0927,35.4,22.7,0.0,15.3,3.0,Other,3
554691,6,179.4117647,2,0,Vidarbha,Indore,2013-03-29,bat,day,0,42,0,1.744,7.74,25.41,1.882,8.03,21.01,0.573,8.17,25.66,15.25,5,0,0,2,1.9655,2.1893,2.1988,1.0927,33.5,19.8,0.0,18.3,0.0,Other,3
554691,6,192.6829268,2,0,Punjab,Indore,2013-03-31,bat,day,0,34,0,1.744,7.74,25.41,1.882,8.03,21.01,0.573,8.17,25.66,19.75,6,0,0,2,1.9655,2.6155,2.8816,1.0927,33.8,20.8,0.0,12.2,3.0,Other,3
554691,6,206.8181818,1,1,Maharashtra,Mumbai,2014-03-30,field,day,0,10,0,0.914,7.23,22.96,0.411,7.14,24.08,0.425,7.29,20.8,22.75,7,0,0,2,2.3917,3.5007,1.3382,1.0927,36.0,24.8,0.0,23.7,1.0,Other,2
554691,6,194.0,1,1,Mumbai,Mumbai,2014-03-31,field,day,0,21,0,0.914,7.23,22.96,0.411,7.14,24.08,0.425,7.29,20.8,19.4,8,0,0,2,1.9655,2.2221,1.9422,1.6967,33.0,24.5,0.0,20.1,0.0,Other,3
554691,6,169.2307692,1,1,Baroda,Wankhede,2014-04-02,bat,night,1,9,0,1.25,8.23,27.2,0.758,7.95,25.67,0.732,8.29,26.23,18.33333333,9,0,0,2,1.9655,2.6483,1.3382,1.0927,35.0,23.4,0.0,16.3,0.0,Other,3
