ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder
438362,6,0.0,2,0,SRH,Mohali,2013-05-11,field,night,1,-2,1,1.23,8.37,27.05,1.757,8.36,25.29,0.61,8.3,28.75,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,36.6,23.0,0.7,20.3,51.0,IPL,4
438362,6,0.0,1,0,KKR,Abu Dhabi,2014-04-26,field,night,0,0,0,1.142,7.58,22.54,0.761,7.74,24.29,0.864,7.7,23.52,0.0,1,0,0,0,0.9353,0.9353,1.3382,1.0927,34.7,23.6,0.0,19.6,0.0,IPL,4
438362,6,33.33333333,2,0,Hyderabad,Cuttack,2015-04-01,field,day,1,-2,0,1.2,7.3,24.38,1.0,6.93,22.14,1.2,7.17,20.69,2.0,2,0,0,0,0.9353,0.9353,1.3382,1.0927,35.9,25.1,1.8,17.1,61.0,Other,4
438362,6,33.33333333,2,0,CSK,Chennai,2015-04-25,bat,night,0,-1,0,1.454,7.74,27.44,0.891,7.56,26.59,1.2,7.66,23.86,2.0,3,0,0,0,0.9353,0.9353,1.3382,1.0927,33.7,25.5,5.9,20.0,63.0,IPL,4
438362,6,30.0,2,0,SRH,Mohali,2015-04-27,field,night,1,5,1,1.23,8.37,27.05,1.757,8.36,25.29,0.61,8.3,28.75,3.0,4,0,0,0,0.9353,0.9353,1.3382,1.0927,34.0,23.3,1.4,25.3,55.0,IPL,4
438362,6,36.36363636,2,1,RCB,Bengaluru,2015-05-06,field,night,1,15,0,1.145,8.59,28.43,1.304,8.58,27.58,0.774,8.53,26.73,4.0,5,0,0,0,0.9353,1.1919,1.3382,1.0927,30.1,21.2,3.8,7.2,55.0,IPL,4
438362,6,55.0,2,0,Zimbabwe,Harare,2015-07-19,bat,day,0,5,0,0.707,7.73,19.78,0.543,7.26,24.47,1.343,7.28,20.1,11.0,6,0,0,0,1.5125,1.7691,1.3382,1.0927,23.2,12.1,0.0,19.2,0.0,Bilateral,4
438362,6,57.14285714,1,0,Daredevils,Delhi,2016-04-15,field,night,0,1,0,1.041,7.97,26.06,0.788,8.34,26.9,0.847,8.04,24.75,12.0,7,0,0,0,1.5125,1.9201,1.3382,1.0927,39.8,22.4,0.0,18.9,3.0,IPL,4
438362,6,56.52173913,1,0,Guj Lions,Rajkot,2016-05-01,field,daynight,0,5,0,0.846,8.11,25.01,0.608,8.19,27.6,0.756,8.11,24.53,13.0,8,0,0,0,1.5125,1.9201,1.3382,1.0927,40.1,23.7,0.0,20.3,3.0,IPL,4
438362,6,58.33333333,2,0,KKR,Eden Gardens,2016-05-04,field,night,1,5,0,1.428,8.06,26.66,1.261,8.39,25.05,0.847,8.09,25.96,14.0,9,0,0,0,1.5125,1.9201,1.3382,1.0927,34.8,26.9,2.9,13.6,61.0,IPL,4
438362,6,60.0,2,0,RCB,Bengaluru,2016-05-18,field,night,1,9,0,1.145,8.59,28.43,1.304,8.58,27.58,0.774,8.53,26.73,15.0,10,0,0,0,1.6635,1.9201,1.6402,1.3947,26.4,21.5,16.7,18.5,63.0,IPL,4
438362,6,66.66666667,2,0,Haryana,Nadaun,2017-01-29,field,day,1,6,0,0.25,7.03,15.11,0.0,6.15,20.95,0.0,6.26,13.14,20.0,11,0,0,0,2.0897,1.6449,1.3382,1.0927,19.5,7.7,0.0,9.3,3.0,Tournament,4
438362,6,68.75,2,1,J + K,Dharamsala,2017-01-31,field,day,1,17,0,1.0,7.87,25.28,1.083,7.87,27.2,1.066,7.76,21.08,22.0,12,0,0,0,2.0897,2.0711,1.3382,1.0927,12.1,7.4,1.7,9.6,53.0,Tournament,4
438362,6,77.5,1,0,Services,Dharamsala,2017-02-01,bat,day,1,23,0,1.0,7.87,25.28,2.0,8.08,18.93,1.066,8.2,27.15,15.5,13,0,0,0,1.6635,2.2221,1.9422,1.0927,14.0,9.2,0.0,8.3,3.0,Tournament,4
438362,6,89.79591837,1,1,Himachal,Dharamsala,2017-02-02,field,day,0,12,0,1.0,7.87,25.28,0.923,8.23,21.67,1.066,8.2,27.15,22.0,14,0,0,0,2.2407,3.0745,3.0512,1.0927,16.3,11.0,0.0,5.6,3.0,Tournament,1
438362,6,90.56603774,1,0,KKR,Eden Gardens,2017-04-13,field,night,0,-2,0,1.428,8.06,26.66,0.792,8.44,27.35,0.847,8.19,24.64,16.0,15,0,0,0,1.8145,2.2221,1.9422,1.2437,35.3,24.4,0.0,20.7,2.0,IPL,4
438362,6,90.56603774,2,0,Daredevils,Delhi,2017-04-15,bat,night,0,6,0,1.041,7.97,26.06,1.064,7.31,22.35,0.847,7.94,25.34,16.0,16,0,0,0,1.8145,2.2221,1.4892,1.2437,40.2,22.9,0.0,20.1,0.0,IPL,4
438362,6,90.90909091,2,0,SRH,Hyderabad,2017-04-17,field,night,1,9,0,1.016,8.12,26.41,0.972,8.2,27.07,0.813,8.08,25.61,16.66666667,17,0,0,0,1.8145,2.2221,1.3382,1.2437,40.8,25.7,0.0,17.7,1.0,IPL,4
438362,6,93.22033898,1,0,Supergiant,Pune,2017-05-14,field,daynight,0,-2,0,0.71,8.01,23.29,1.047,8.42,23.82,1.241,8.12,27.46,18.33333333,18,0,0,0,1.8145,2.6483,1.3382,1.0927,37.4,26.0,0.9,22.4,53.0,IPL,4
438362,6,93.22033898,2,1,MI,Hyderabad,2018-04-12,field,night,1,-4,1,1.016,8.24,25.46,0.972,8.2,27.07,0.813,8.08,25.61,18.33333333,19,0,0,0,1.8145,2.2221,1.9422,1.0927,34.6,22.3,2.2,7.7,61.0,IPL,4
438362,6,90.16393443,1,0,MI,Wankhede,2018-04-24,field,night,0,-2,0,1.25,8.23,27.2,0.724,8.41,27.14,0.732,8.29,26.23,13.75,20,0,0,1,1.8145,1.6449,1.3382,1.0927,29.5,27.0,0.0,29.7,0.0,IPL,4
438362,6,88.70967742,1,1,RCB,Hyderabad,2018-05-07,field,night,0,-4,1,1.016,8.24,25.46,1.027,8.52,23.72,0.813,8.24,26.1,13.75,21,0,0,1,1.8145,1.4939,2.0478,1.9719,37.7,26.7,0.0,11.5,2.0,IPL,4
438362,6,87.3015873,2,0,M. Pradesh,Indore,2019-02-21,bat,day,0,5,0,1.744,7.74,25.41,1.882,8.03,21.01,0.573,8.17,25.66,11.0,22,0,0,2,1.8145,1.4611,1.3382,1.0927,33.3,20.2,0.0,21.5,2.0,Other,4
438362,6,87.5,2,0,Mumbai,Indore,2019-02-22,field,day,1,8,0,1.744,7.74,25.41,1.653,8.26,22.62,0.573,8.17,25.66,11.2,23,0,0,2,1.8145,1.1591,1.9422,1.0927,30.6,16.8,0.0,14.2,0.0,Other,4
438362,6,83.78378378,1,0,Saurashtra,Indore,2019-02-24,field,day,0,5,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,12.4,24,0,0,2,1.8145,1.1591,1.8968,1.0927,29.0,15.4,0.0,16.5,3.0,Other,4
438362,6,84.0,2,0,MI,Hyderabad,2019-04-06,field,night,1,19,1,1.016,8.24,25.46,0.972,8.2,27.07,0.813,8.08,25.61,12.6,25,0,0,2,1.8145,1.3429,2.1534,1.0927,36.3,22.9,0.0,14.7,1.0,IPL,4
438362,6,88.31168831,2,0,DC,Hyderabad,2019-04-14,field,night,1,5,1,1.016,8.24,25.46,0.972,8.2,27.07,0.813,8.08,25.61,13.6,26,0,0,2,1.8145,2.0711,2.712,1.0927,37.7,24.4,0.0,13.7,2.0,IPL,4
438362,6,88.46153846,1,0,Tamil Nadu,Surat,2019-11-25,field,day,0,9,0,3.0,7.14,27.53,1.2,7.85,24.08,1.222,7.53,23.56,13.8,27,0,0,2,1.8145,2.0711,1.3382,1.0927,33.8,22.3,0.0,17.6,0.0,Other,4
438362,6,87.05882353,2,1,RCB,Dubai (DICS),2020-09-21,field,night,1,19,0,1.4,7.67,23.26,1.639,7.72,22.51,0.751,7.56,23.19,14.8,28,0,0,2,1.8145,2.0711,1.3382,1.8023,35.4,25.4,0.0,25.4,3.0,IPL,4
438362,6,91.20879121,2,0,MI,Sharjah,2020-10-04,bat,day,0,-2,0,0.428,8.5,20.42,1.031,7.08,22.0,0.744,7.62,23.54,13.83333333,29,0,0,2,1.8145,2.6483,1.3382,1.9533,34.7,25.7,0.0,20.4,0.0,IPL,4
438362,6,90.2173913,2,0,CSK,Dubai (DICS),2020-10-13,bat,night,0,1,0,1.4,7.67,23.26,0.88,7.23,22.76,0.751,7.56,23.19,13.83333333,30,0,0,2,1.8145,2.6483,1.9422,1.0927,35.8,25.6,0.0,28.7,0.0,IPL,4
438362,6,89.36170213,2,1,Kings XI,Dubai (DICS),2020-10-24,field,night,1,-4,0,1.4,7.67,23.26,1.639,7.72,22.51,0.751,7.56,23.19,14.0,31,0,0,2,1.8145,2.0711,2.625,1.0927,35.5,18.5,0.0,25.2,0.0,IPL,4
438362,6,87.5,2,0,DC,Abu Dhabi,2020-11-08,bat,night,0,2,0,1.142,7.58,22.54,0.947,7.35,24.08,0.864,7.53,24.41,12.0,32,0,0,3,1.8145,1.6449,1.3382,1.6967,31.3,25.9,0.0,26.8,2.0,IPL,4
438362,6,86.0,1,0,UP,Alur (2),2021-01-10,bat,day,1,-2,0,0.0,6.41,30.76,1.0,7.15,21.61,1.5,7.76,26.27,12.28571429,33,0,0,3,1.8145,1.6449,1.3382,1.0927,25.7,18.5,0.0,15.7,3.0,Other,4
438362,6,86.0,2,1,Baroda,Ahmedabad,2021-01-29,field,night,1,1,0,1.461,8.05,29.93,1.0,8.46,26.96,1.166,8.13,25.56,12.28571429,34,0,0,3,1.8145,1.1919,1.3382,1.0927,25.9,12.1,0.0,18.0,0.0,Other,4
