ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder
308967,6,0.0,1,0,NSW,Hyderabad,2009-10-18,field,daynight,0,10,0,1.016,8.12,26.41,1.027,8.52,23.72,0.813,8.24,26.1,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,30.8,21.6,0.0,8.7,1.0,Other,4
308967,6,75.0,2,1,Sussex,Hove,2010-06-01,field,night,1,55,0,0.949,8.27,24.7,0.631,8.32,26.09,1.017,8.22,23.58,6.0,1,0,0,0,1.2373,1.2373,1.3382,1.0927,12.6,10.1,5.2,17.1,61.0,T20 Tournament,3
308967,6,137.5,2,1,Middlesex,Lord's,2010-06-09,bat,night,0,-1,0,0.5,8.45,22.21,0.62,7.69,25.96,1.702,7.9,21.13,33.0,2,0,0,0,2.8179,2.8179,1.3382,1.0927,19.2,11.1,2.8,13.0,55.0,T20 Tournament,2
308967,6,125.9259259,1,1,Hampshire,Southampton,2010-06-11,field,night,0,3,0,1.525,7.91,25.88,1.172,8.34,25.64,1.328,8.16,24.88,17.0,3,0,0,0,1.9655,1.9655,1.3382,1.0927,17.9,12.1,1.3,22.5,53.0,T20 Tournament,2
308967,6,112.1212121,2,1,Surrey,Taunton,2010-06-12,field,day,1,1,1,1.673,9.28,24.09,0.64,8.96,26.8,1.12,8.92,27.02,12.33333333,4,0,0,0,1.9655,1.9655,1.3382,1.0927,17.8,10.2,0.0,15.4,3.0,T20 Tournament,3
308967,6,108.5714286,2,1,Essex,Taunton,2010-06-16,bat,day,0,27,1,1.673,9.28,24.09,1.733,8.83,25.62,1.12,8.92,27.02,9.5,5,0,0,0,1.5393,1.7959,1.4892,1.0927,19.2,8.1,0.0,21.6,0.0,T20 Tournament,3
308967,6,116.6666667,1,0,Kent,Beckenham,2010-06-20,field,day,0,96,0,2.285,8.02,26.77,1.0,8.42,20.8,1.09,8.35,24.59,9.8,6,0,0,0,1.5393,1.7959,1.3382,1.0927,15.4,7.4,0.0,19.6,3.0,T20 Tournament,3
308967,6,151.5625,2,0,Glamorgan,Taunton,2010-06-28,bat,day,0,19,1,1.673,9.28,24.09,1.733,8.83,25.62,1.12,8.92,27.02,19.4,7,0,0,0,1.9655,2.2221,2.1988,1.0927,23.8,12.3,0.0,16.3,3.0,T20 Tournament,3
308967,6,147.9452055,2,1,Surrey,The Oval,2010-07-02,bat,night,0,55,0,1.358,8.17,24.97,1.054,8.25,24.47,0.853,8.33,24.51,21.6,8,0,0,0,2.3917,2.6483,1.3382,1.2437,24.2,16.9,0.0,21.6,3.0,T20 Tournament,3
308967,6,150.5494505,1,0,Middlesex,Taunton,2010-07-04,field,day,0,38,1,1.673,9.28,24.09,1.562,9.33,25.39,1.12,9.05,26.41,22.83333333,9,0,0,0,2.3917,3.0745,2.8816,1.0927,20.0,11.1,0.0,27.2,3.0,T20 Tournament,3
308967,6,148.5981308,2,0,Hampshire,Taunton,2010-07-09,bat,day,0,36,1,1.673,9.28,24.09,1.733,8.83,25.62,1.12,8.92,27.02,26.5,10,0,0,0,2.3917,3.5007,3.5644,1.2437,24.9,13.2,0.0,15.3,3.0,T20 Tournament,3
