ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder
1252585,6,0.0,1,1,Manipur,Mangalagiri,2021-11-08,bat,day,1,26,0,0.25,7.98,16.85,1.0,7.43,22.89,1.5,7.69,25.51,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,29.5,21.6,0.0,12.0,3.0,Other,2
1252585,6,85.71428571,1,1,Sikkim,Mangalagiri,2021-11-09,bat,day,1,42,0,0.25,7.98,16.85,1.0,7.43,22.89,1.5,7.69,25.51,18.0,1,0,0,0,1.8145,1.8145,2.2174,1.0927,29.0,20.8,0.0,12.8,3.0,Other,2
1252585,6,105.0,2,1,Maharashtra,Delhi,2021-11-16,field,day,1,36,0,1.041,7.97,26.06,1.268,8.38,26.5,0.847,7.94,25.34,21.0,2,0,0,0,2.3917,2.3917,1.3382,1.0927,25.5,11.1,0.0,11.5,0.0,Other,2
1252585,6,115.3846154,2,1,Karnataka,Delhi,2021-11-20,field,day,1,40,0,1.041,7.97,26.06,1.268,8.38,26.5,0.847,7.94,25.34,20.0,3,0,0,0,2.3917,2.3917,2.3684,1.0927,25.5,15.0,0.0,9.0,3.0,Other,2
1252585,6,123.5294118,1,0,Mizoram,Saurashtra,2022-10-14,bat,day,1,95,0,0.846,8.11,25.01,0.944,8.02,23.62,0.756,8.11,24.53,21.0,4,0,0,0,2.3917,2.3917,1.3382,1.0927,35.2,21.8,0.0,15.6,2.0,Other,2
1252585,6,134.3434343,2,1,Mumbai,Saurashtra,2022-10-16,field,day,1,40,0,0.846,8.11,25.01,1.642,7.96,23.0,0.756,8.03,25.51,33.25,5,0,0,0,2.8179,3.0745,3.6142,1.0927,34.9,21.6,0.0,16.5,2.0,Other,3
1252585,6,130.8333333,1,1,Uttarakhand,Rajkot,2022-10-18,field,daynight,0,7,0,0.846,8.11,25.01,0.608,8.19,27.6,0.756,8.11,24.53,31.4,6,0,0,0,2.8179,3.0745,1.3382,1.0927,34.8,22.3,0.0,11.6,3.0,Other,2
1252585,6,126.5625,1,1,M. Pradesh,Saurashtra,2022-10-20,bat,day,1,14,0,0.846,8.11,25.01,0.944,8.02,23.62,0.756,8.11,24.53,27.0,7,0,0,0,2.3917,3.0745,3.8708,1.0927,35.1,20.8,0.0,12.7,0.0,Other,2
1252585,6,121.9858156,2,1,Railways,Rajkot,2022-10-22,field,daynight,1,70,0,0.846,8.11,25.01,1.642,7.96,23.0,0.756,8.03,25.51,24.57142857,8,0,0,0,2.3917,2.6483,1.6402,1.0927,35.1,22.1,0.0,19.2,1.0,Other,2
1252585,6,125.0,2,1,Chhattisgarh,Kolkata,2022-10-30,field,day,1,4,0,0.0,9.95,33.33,0.0,10.0,33.16,0.0,10.0,33.33,26.25,9,0,0,0,2.3917,3.0745,1.3382,1.0927,,,,,,Other,2
