ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder
290630,6,0.0,1,1,Kerala,Visakhapatnam,2007-04-03,bat,day,1,5,0,0.755,8.08,21.23,0.812,7.69,22.03,0.926,8.02,23.39,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,33.3,26.2,0.0,25.3,1.0,Tournament,2
290630,6,50.0,1,1,Andhra,Visakhapatnam,2007-04-04,bat,day,1,78,0,0.755,8.08,21.23,0.812,7.69,22.03,0.926,8.02,23.39,5.0,1,0,0,0,1.0863,1.0863,1.4892,1.0927,33.1,25.9,0.0,23.5,1.0,Tournament,2
290630,6,141.6666667,2,1,Goa,Visakhapatnam,2007-04-05,field,day,1,115,0,0.755,8.08,21.23,1.0,7.9,23.7,0.926,7.79,21.89,25.5,2,0,0,0,2.3917,2.3917,3.0184,1.0927,32.4,25.1,0.0,21.5,2.0,Tournament,2
290630,6,147.5,1,1,Tamil Nadu,Visakhapatnam,2007-04-06,field,day,0,1,0,0.755,8.08,21.23,1.0,8.23,21.82,0.926,8.02,23.39,39.33333333,3,0,1,0,2.8179,2.8179,3.6684,1.0927,32.8,25.2,0.0,24.7,3.0,Tournament,2
290630,6,145.1219512,2,1,Hyderabad,Visakhapatnam,2007-04-07,bat,day,0,2,0,0.755,8.08,21.23,1.23,7.59,22.87,0.926,7.79,21.89,29.75,4,0,1,0,2.3917,2.3917,3.4988,1.0927,31.6,25.2,0.0,24.8,3.0,Tournament,2
290630,6,133.6956522,1,1,Punjab,Wankhede,2007-04-16,bat,daynight,1,8,0,1.25,8.23,27.2,0.758,7.95,25.67,0.732,8.29,26.23,24.6,5,0,1,0,2.3917,2.6483,1.3382,1.0927,34.6,25.3,0.0,16.4,0.0,Tournament,2
290630,6,127.7227723,1,1,Railways,Brabourne,2007-04-19,bat,daynight,1,-4,0,1.388,8.42,24.88,1.0,8.07,23.91,0.954,8.35,25.16,21.5,6,0,1,0,2.3917,2.6483,1.3382,1.0927,33.4,26.8,0.0,16.3,2.0,Tournament,2
290630,6,126.4705882,2,1,KKR,Eden Gardens,2008-04-29,bat,night,0,-4,0,1.428,8.06,26.66,1.066,7.63,24.0,0.847,8.09,25.96,18.42857143,7,0,1,1,1.9655,2.2221,1.3382,1.0927,36.0,26.8,0.0,18.9,3.0,IPL,2
290630,6,122.8571429,1,1,RR,Jaipur,2008-05-26,field,night,0,3,0,1.818,7.54,25.92,0.75,7.55,23.29,0.666,7.62,23.87,16.125,8,0,1,2,1.9655,1.1591,1.3382,1.0927,37.9,24.4,0.6,15.8,53.0,IPL,3
290630,6,118.9189189,2,0,KKR,Durban,2009-04-29,bat,day,0,6,0,1.122,7.68,23.16,0.808,7.52,22.98,1.191,7.51,21.38,14.66666667,9,0,1,2,1.9655,1.1591,1.3382,1.0927,27.6,18.1,0.0,21.4,3.0,IPL,3
290630,6,118.5840708,1,0,Chargers,Centurion,2009-05-21,bat,daynight,1,226,0,1.326,8.29,26.57,0.565,8.37,28.51,0.767,8.31,24.94,14.88888889,10,0,1,2,1.9655,1.3101,1.3382,1.0927,16.5,7.4,0.0,14.8,3.0,IPL,1
290630,6,133.3333333,2,1,CSK,Johannesburg,2009-05-23,field,daynight,1,86,0,1.5,8.05,27.2,0.982,8.06,25.12,0.876,8.05,25.02,27.55555556,11,1,1,2,2.3917,3.0417,1.3382,1.0927,19.0,3.4,0.0,13.8,3.0,IPL,1
290630,6,133.9366516,2,1,Chargers,Johannesburg,2009-05-24,field,daynight,1,4,0,1.5,8.05,27.2,0.982,8.06,25.12,0.876,8.05,25.02,29.6,12,1,1,2,2.3917,3.5007,3.6142,3.4015,18.2,7.3,0.0,11.5,3.0,IPL,1
290630,6,131.0043668,2,1,Goa,Visakhapatnam,2009-09-25,bat,day,0,68,0,0.755,8.08,21.23,1.23,7.59,22.87,0.926,7.79,21.89,27.27272727,13,1,1,2,2.3917,3.5007,3.7554,3.4015,32.6,27.3,0.0,10.1,3.0,Other,1
