ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder
851403,6,0.0,1,0,UP,Indore,2015-03-27,bat,day,1,39,0,1.744,7.74,25.41,0.531,7.37,27.01,0.573,7.76,21.96,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,36.4,22.5,0.0,13.1,3.0,Other,3
851403,6,161.5384615,1,0,Jharkhand,Bhubaneswar,2015-04-02,field,day,0,-2,0,1.75,6.69,19.41,0.428,6.32,22.668,0.375,6.32,16.81,21.0,1,0,0,0,2.3917,2.3917,1.3382,1.0927,36.2,26.0,1.3,16.9,55.0,Other,3
851403,6,161.5384615,2,1,Himachal,Bhubaneswar,2015-04-05,field,day,1,-4,0,1.75,6.69,19.41,2.333,7.17,17.43,0.375,7.15,23.32,21.0,2,0,0,0,2.3917,2.3917,1.3382,1.0927,34.5,26.9,0.0,19.1,3.0,Other,4
851403,6,140.0,2,1,Andhra,Vadodara,2016-01-02,field,day,1,0,0,1.142,7.47,22.42,1.75,7.69,22.55,0.764,7.5,22.28,21.0,3,0,0,1,2.3917,2.3917,1.3382,1.0927,31.9,14.9,0.0,8.8,3.0,Other,2
851403,6,95.83333333,2,0,Goa,Vadodara,2016-01-03,field,day,1,33,0,1.142,7.47,22.42,1.75,7.69,22.55,0.764,7.5,22.28,11.5,4,0,0,1,1.8145,1.8145,1.3382,1.0927,31.4,16.5,0.0,9.2,1.0,Other,2
851403,6,88.88888889,1,0,Delhi,Vadodara,2016-01-04,field,day,0,-2,0,1.142,7.47,22.42,0.571,7.6,23.74,0.764,7.44,21.75,20.0,5,0,0,1,2.2407,2.4973,2.323,1.0927,31.5,17.4,0.0,9.4,0.0,Other,3
851403,6,88.88888889,2,1,Baroda,Vadodara,2016-01-07,field,day,1,15,0,1.142,7.47,22.42,1.75,7.69,22.55,0.764,7.5,22.28,20.0,6,0,0,1,2.2407,1.3429,2.5796,1.0927,31.3,18.8,0.0,9.4,2.0,Other,3
851403,6,88.67924528,2,0,Assam,Vadodara,2016-01-10,field,day,1,92,0,1.142,7.47,22.42,1.75,7.69,22.55,0.764,7.5,22.28,15.66666667,7,0,0,1,1.8145,1.4939,2.8362,1.0927,30.3,13.8,0.0,8.7,2.0,Other,3
851403,6,118.1818182,2,1,Railways,Jaipur,2017-01-29,field,day,1,1,0,1.818,7.54,25.92,1.333,7.57,23.95,0.666,7.74,24.99,30.33333333,8,0,0,1,2.8179,3.0745,1.3382,1.0927,22.3,9.8,0.0,9.3,3.0,Tournament,3
851403,6,116.4556962,1,0,Rajasthan,Jaipur,2017-01-30,field,day,0,83,0,1.818,7.54,25.92,0.75,7.55,23.29,0.666,7.62,23.87,23.0,9,0,0,1,2.3917,3.0745,1.4892,1.0927,23.1,9.6,0.0,9.7,1.0,Tournament,3
851403,6,131.7307692,1,1,UP,Jaipur,2017-02-03,field,day,0,26,0,1.818,7.54,25.92,0.75,7.55,23.29,0.666,7.62,23.87,34.25,10,0,0,1,2.8179,3.5007,3.8708,2.5491,24.5,11.0,0.0,9.8,3.0,Tournament,2
