ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder
778241,6,0.0,1,0,J + K,Alur,2021-01-10,field,day,0,82,0,2.5,7.96,33.0,0.166,7.48,40.64,0.166,7.48,22.78,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,25.7,18.5,0.0,15.7,3.0,Other,2
778241,6,154.8387097,1,1,Punjab,Alur,2021-01-12,field,day,0,-4,0,2.5,7.96,33.0,0.166,7.48,40.64,0.166,7.48,22.78,48.0,1,0,0,0,3.2441,3.2441,3.6142,1.0927,26.0,17.1,0.1,18.3,51.0,Other,3
778241,6,145.4545455,1,1,Tripura,Alur (3),2021-01-14,field,day,0,19,0,4.0,7.74,31.33,0.25,7.41,49.53,0.25,7.41,22.45,48.0,2,0,0,1,3.2441,3.2441,1.3382,1.0927,26.5,15.7,0.4,17.0,51.0,Other,2
778241,6,134.0909091,2,1,Railways,Alur (2),2021-01-16,bat,day,0,-4,0,0.0,6.41,30.76,1.0,7.08,23.83,1.5,6.75,20.63,29.5,3,0,0,1,2.3917,2.3917,1.3382,1.0927,27.3,17.3,0.0,12.8,3.0,Other,2
778241,6,131.1111111,2,1,UP,Alur (3),2021-01-18,field,day,1,-4,0,4.0,7.74,31.33,4.0,8.14,22.45,0.25,8.14,49.53,19.66666667,4,0,0,2,1.9655,1.9327,2.3684,1.0927,26.9,13.8,0.0,14.1,3.0,Other,2
778241,6,128.2608696,2,0,M. Pradesh,Dehradun,2023-10-19,field,daynight,1,21,0,0.0,0.0,0.0,0.0,7.69,25.13,2.0,7.75,23.3,14.75,5,0,0,3,1.9655,2.1565,1.3382,1.0927,25.5,12.7,0.0,6.2,0.0,Other,2
778241,6,110.7692308,1,1,Delhi,Dehradun,2023-10-21,field,day,0,40,0,0.0,0.0,0.0,0.0,9.42,16.66,2.0,8.88,28.05,18.0,6,0,0,3,1.9655,1.4283,2.0664,1.0927,26.2,14.8,0.0,7.2,3.0,Other,2
778241,6,109.0909091,2,0,Nagaland,Dehradun,2023-10-23,field,day,1,13,0,0.0,0.0,0.0,0.0,7.69,25.13,2.0,7.75,23.3,19.2,7,0,0,3,1.9655,2.0383,3.3264,1.0927,26.3,14.6,0.2,7.6,51.0,Other,2
778241,6,105.0,2,1,UP,Dehradun,2023-10-25,field,day,1,16,0,0.0,0.0,0.0,0.0,7.69,25.13,2.0,7.75,23.3,21.0,8,0,0,3,2.3917,2.0383,4.0092,1.0927,27.5,13.6,0.0,8.3,1.0,Other,2
778241,6,103.6697248,1,1,Tripura,Dehradun,2023-10-27,bat,daynight,1,133,0,0.0,0.0,0.0,1.0,8.61,29.0,2.0,8.88,28.05,18.83333333,9,0,0,3,1.9655,2.0711,3.4134,2.1229,26.1,15.6,0.0,6.7,2.0,Other,2
778241,6,122.4489796,2,0,Uttarakhand,Indore,2024-11-23,bat,day,0,144,0,1.744,7.74,25.41,1.882,8.03,21.01,0.573,8.17,25.66,25.71428571,10,0,1,3,2.3917,3.5007,1.3382,1.0927,27.3,14.9,0.0,9.6,0.0,Other,2
778241,6,134.7593583,2,1,Tripura,Indore,2024-11-25,field,day,1,36,0,1.744,7.74,25.41,1.653,8.26,22.62,0.573,8.17,25.66,36.0,11,0,2,3,2.8179,3.5007,3.5814,2.9753,26.8,15.1,0.0,9.8,3.0,Other,2
778241,6,134.6733668,1,1,Saurashtra,Indore,2024-11-27,field,day,0,57,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,33.5,12,0,2,3,2.8179,3.5007,3.838,1.0927,26.7,15.9,0.0,11.1,0.0,Other,2
778241,6,132.300885,2,1,Sikkim,Indore,2024-11-29,bat,daynight,0,85,0,1.744,7.74,25.41,1.882,8.03,21.01,0.573,8.17,25.66,33.22222222,13,0,2,3,2.8179,3.5007,4.0946,1.0927,24.4,13.9,0.0,12.1,0.0,Other,2
778241,6,140.5857741,2,0,Tamil Nadu,Indore,2024-12-01,bat,day,0,25,0,1.744,7.74,25.41,1.882,8.03,21.01,0.573,8.17,25.66,33.6,14,0,2,3,2.8179,3.5007,4.3512,1.0927,25.0,12.0,0.0,10.8,3.0,Other,2
778241,6,141.3934426,1,1,Baroda,Indore,2024-12-03,bat,day,1,50,0,1.744,7.74,25.41,0.531,7.37,27.01,0.573,7.76,21.96,34.5,15,0,2,3,2.8179,3.5007,4.6078,1.0927,28.3,15.9,0.0,11.3,1.0,Other,2
778241,6,145.0592885,2,1,Gujarat,Indore,2024-12-05,field,day,1,60,0,1.744,7.74,25.41,1.653,8.26,22.62,0.573,8.17,25.66,33.36363636,16,0,2,3,2.8179,2.6483,4.6078,1.0927,29.5,17.4,0.0,12.3,3.0,Other,2
