MatchDate,MatchLink,Latitude,Longitude,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,error
2021-01-21,https://www.espncricinfo.com/ci/engine/match/1234016.html,-37.787,175.2793,18.1,10.7,1.4,30.4,53.0,
2021-12-17,https://www.espncricinfo.com/ci/engine/match/1289612.html,-37.787,175.2793,20.5,15.3,0.6,31.6,51.0,
2022-01-21,https://www.espncricinfo.com/ci/engine/match/1289629.html,-43.5321,172.6362,20.8,10.7,0.0,14.9,3.0,
2022-12-26,https://www.espncricinfo.com/ci/engine/match/1324638.html,-33.8688,151.2093,27.3,15.7,0.0,21.8,3.0,
2014-03-31,https://www.espncricinfo.com/ci/engine/match/671215.html,21.1458,79.0882,39.6,24.3,0.0,12.2,2.0,
2018-02-05,https://www.espncricinfo.com/ci/engine/match/1134031.html,25.3463,55.4209,22.2,13.8,0.0,18.4,0.0,
2018-06-05,https://www.espncricinfo.com/ci/engine/match/1145983.html,30.3165,78.0322,33.5,24.9,1.8,14.5,53.0,
2019-02-23,https://www.espncricinfo.com/ci/engine/match/1168113.html,30.3165,78.0322,20.9,9.6,0.0,12.2,3.0,
2013-03-02,https://www.espncricinfo.com/ci/engine/match/577968.html,-26.7034,27.097,24.6,14.4,0.4,19.5,51.0,
2013-03-24,https://www.espncricinfo.com/ci/engine/match/577979.html,-33.7243,18.9622,25.7,13.8,0.0,26.3,1.0,
2014-02-02,https://www.espncricinfo.com/ci/engine/match/670375.html,-33.7243,18.9622,29.1,17.0,0.0,27.7,1.0,
2014-11-02,https://www.espncricinfo.com/ci/engine/match/736257.html,-26.2041,28.0473,20.1,12.0,2.1,18.2,61.0,
2015-11-08,https://www.espncricinfo.com/ci/engine/match/874931.html,-33.9249,18.4241,22.1,13.6,0.0,20.9,3.0,
2016-02-21,https://www.espncricinfo.com/ci/engine/match/874965.html,-29.0852,26.1596,27.7,11.3,0.0,18.7,0.0,
2016-09-23,https://www.espncricinfo.com/ci/engine/match/1029643.html,-33.7243,18.9622,17.6,5.9,0.0,15.8,3.0,
2016-09-24,https://www.espncricinfo.com/ci/engine/match/1029647.html,-33.7243,18.9622,17.8,6.9,0.0,13.7,3.0,
2016-09-25,https://www.espncricinfo.com/ci/engine/match/1029651.html,-33.7243,18.9622,27.3,9.6,0.0,10.7,2.0,
2017-09-17,https://www.espncricinfo.com/ci/engine/match/1116096.html,-33.0292,27.8546,18.0,13.8,4.7,20.0,53.0,
2018-09-14,https://www.espncricinfo.com/ci/engine/match/1157423.html,-33.7243,18.9622,17.8,9.7,0.9,15.6,51.0,
2018-09-15,https://www.espncricinfo.com/ci/engine/match/1157414.html,-33.7243,18.9622,19.3,8.9,0.0,14.0,3.0,
2018-09-16,https://www.espncricinfo.com/ci/engine/match/1157436.html,-33.7243,18.9622,20.3,6.6,0.0,16.4,3.0,
2019-09-13,https://www.espncricinfo.com/ci/engine/match/1200366.html,-28.7383,24.7636,21.2,8.7,0.0,16.3,2.0,
2019-09-13,https://www.espncricinfo.com/ci/engine/match/1200373.html,-28.7383,24.7636,21.2,8.7,0.0,16.3,2.0,
2019-09-14,https://www.espncricinfo.com/ci/engine/match/1200385.html,-28.7383,24.7636,23.8,6.5,0.0,11.3,3.0,
2024-03-20,https://www.espncricinfo.com/ci/engine/match/1394588.html,-25.872,28.1676,33.0,20.0,9.3,20.6,65.0,
2024-04-07,https://www.espncricinfo.com/ci/engine/match/1394607.html,-29.6006,30.3796,17.5,14.9,9.2,15.6,61.0,
2022-10-11,https://www.espncricinfo.com/ci/engine/match/1332923.html,26.9124,75.7873,28.5,20.4,0.5,10.7,51.0,
2022-10-12,https://www.espncricinfo.com/ci/engine/match/1332941.html,26.9124,75.7873,29.8,19.6,0.0,9.5,0.0,
2012-12-10,https://www.espncricinfo.com/ci/engine/match/587476.html,23.804,90.3667,25.5,13.9,0.0,6.7,1.0,
2013-03-02,https://www.espncricinfo.com/ci/engine/match/593986.html,17.0644,-61.794,26.6,23.4,0.0,21.1,3.0,
2014-04-03,https://www.espncricinfo.com/ci/engine/match/682961.html,23.804,90.3667,35.2,23.8,10.4,12.4,63.0,
2012-03-27,https://www.espncricinfo.com/ci/engine/match/540173.html,14.0583,-60.9544,28.0,24.7,0.0,19.5,3.0,
2012-06-30,https://www.espncricinfo.com/ci/engine/match/560921.html,26.1404,-80.2134,30.9,24.2,0.1,11.4,51.0,
2012-07-01,https://www.espncricinfo.com/ci/engine/match/560922.html,26.1404,-80.2134,30.6,24.6,1.8,11.4,55.0,
2017-04-01,https://www.espncricinfo.com/ci/engine/match/1085495.html,10.6549,-61.5019,32.7,23.6,0.9,17.3,51.0,
2015-04-03,https://www.espncricinfo.com/ci/engine/match/857091.html,20.2961,85.8245,39.0,26.1,0.0,16.9,1.0,
2015-04-04,https://www.espncricinfo.com/ci/engine/match/857099.html,20.2961,85.8245,37.1,25.3,1.0,19.5,55.0,
2017-02-04,https://www.espncricinfo.com/ci/engine/match/1079330.html,26.9124,75.7873,26.3,13.5,0.0,19.7,3.0,
2018-01-15,https://www.espncricinfo.com/ci/engine/match/1130720.html,28.6139,77.209,22.1,6.4,0.0,17.2,0.0,
2016-01-10,https://www.espncricinfo.com/ci/engine/match/874951.html,-33.9608,25.6022,24.0,19.6,0.8,26.1,51.0,
2018-11-16,https://www.espncricinfo.com/ci/engine/match/1162641.html,-33.9249,18.4241,23.5,14.8,0.0,19.6,3.0,
