ID,Name,Team,Probability > 100,Count > 100,Total Matches Played
1060380,Ruturaj Gaikwad,CHE,0.2713178294573643,35.0,129
379140,Devon Conway,CHE,0.22699386503067484,37.0,163
497121,Deepak Hooda,CHE,0.1553398058252427,16.0,103
714451,Shivam Dube,CHE,0.14049586776859505,17.0,121
1292497,Shaik Rasheed,CHE,0.13333333333333333,2.0,15
446763,Rahul Tripathi,CHE,0.11235955056179775,10.0,89
477021,Vijay Shankar,CHE,0.10869565217391304,5.0,46
662973,Sam Curran,CHE,0.10052910052910052,19.0,189
422108,Lokesh Rahul,DC,0.304,38.0,125
44828,Faf du Plessis,DC,0.2777777777777778,50.0,180
1131978,Ashutosh Sharma,DC,0.25,5.0,20
1277545,Abishek Porel,DC,0.2,7.0,35
398439,Karun Nair,DC,0.1875,6.0,32
1168049,Jake Fraser-McGurk,DC,0.11764705882352941,8.0,68
698315,Donovan Ferreira,DC,0.11538461538461539,9.0,78
595978,Tristan Stubbs,DC,0.09352517985611511,13.0,139
308967,Jos Buttler,GT,0.2680851063829787,63.0,235
1070173,Shubman Gill,GT,0.20930232558139536,27.0,129
823509,Glenn Phillips,GT,0.16444444444444445,37.0,225
1151288,Sai Sudharsan,GT,0.1590909090909091,7.0,44
853265,Mahipal Lomror,GT,0.11290322580645161,7.0,62
1292506,Nishant Sindhu,GT,0.08695652173913043,2.0,23
1123073,Anuj Rawat,GT,0.07692307692307693,4.0,52
1244751,Arshad Khan,GT,0.07692307692307693,1.0,13
379143,Quinton de Kock,KKR,0.20600858369098712,48.0,233
277916,Ajinkya Rahane,KKR,0.19402985074626866,13.0,67
851403,Venkatesh Iyer,KKR,0.17647058823529413,15.0,85
723105,Rinku Singh,KKR,0.16822429906542055,18.0,107
974087,Rahmanullah Gurbaz,KKR,0.16216216216216217,36.0,222
8917,Moeen Ali,KKR,0.09523809523809523,22.0,231
290630,Manish Pandey,KKR,0.09375,6.0,64
820351,Rovman Powell,KKR,0.09349593495934959,23.0,246
1175463,Yuvraj Chaudhary,LSG,0.3,3.0,10
1130300,Aryan Juyal,LSG,0.2,4.0,20
604302,Nicholas Pooran,LSG,0.16455696202531644,52.0,316
272450,Mitchell Marsh,LSG,0.15942028985507245,22.0,138
1403153,Arshin Kulkarni,LSG,0.15384615384615385,2.0,13
595267,Matthew Breetzke,LSG,0.1375,11.0,80
321777,David Miller,LSG,0.11842105263157894,27.0,228
600498,Aiden Markram,LSG,0.11351351351351352,21.0,185
446507,Suryakumar Yadav,MI,0.27350427350427353,64.0,234
34102,Rohit Sharma,MI,0.19298245614035087,33.0,171
605661,Ryan Rickelton,MI,0.18604651162790697,16.0,86
897549,Will Jacks,MI,0.18518518518518517,35.0,189
1170265,Tilak Varma,MI,0.175,21.0,120
778241,KL Shrijith,MI,0.11764705882352941,2.0,17
1410577,Bevon Jacobs,MI,0.11764705882352941,2.0,17
625371,Hardik Pandya,MI,0.10294117647058823,21.0,204
1161024,Prabhsimran Singh,PBKS,0.2054794520547945,15.0,73
642519,Shreyas Iyer,PBKS,0.18487394957983194,22.0,119
732293,Vishnu Vinod,PBKS,0.15151515151515152,5.0,33
325026,Glenn Maxwell,PBKS,0.14347826086956522,33.0,230
325012,Marcus Stoinis,PBKS,0.12272727272727273,27.0,220
662235,Josh Inglis,PBKS,0.11764705882352941,16.0,136
377534,Shashank Singh,PBKS,0.11363636363636363,5.0,44
1151273,Nehal Wadhera,PBKS,0.09375,3.0,32
823703,Rajat Patidar,RCB,0.3888888888888889,21.0,54
253802,Virat Kohli,RCB,0.2356687898089172,37.0,157
669365,Philip Salt,RCB,0.18565400843881857,44.0,237
1119026,Devdutt Padikkal,RCB,0.13793103448275862,12.0,87
403902,Liam Livingstone,RCB,0.1152073732718894,25.0,217
1194959,Jacob Bethell,RCB,0.10714285714285714,6.0,56
471342,Krunal Pandya,RCB,0.06521739130434782,6.0,92
892749,Tim David,RCB,0.05952380952380952,15.0,252
1151278,Yashasvi Jaiswal,RR,0.20491803278688525,25.0,122
1079434,Riyan Parag,RR,0.19767441860465115,17.0,86
425943,Sanju Samson,RR,0.1907514450867052,33.0,173
604527,Nitish Rana,RR,0.16666666666666666,16.0,96
670025,Shimron Hetmyer,RR,0.09905660377358491,21.0,212
1339031,Kunal Singh Rathore,RR,0.08333333333333333,1.0,12
1175488,Dhruv Jurel,RR,0.06060606060606061,2.0,33
784379,Wanindu Hasaranga,RR,0.05113636363636364,9.0,176
530011,Travis Head,SRH,0.23529411764705882,40.0,170
1070183,Abhishek Sharma,SRH,0.2076923076923077,27.0,130
720471,Ishan Kishan,SRH,0.18309859154929578,52.0,284
1175496,K Nitish Reddy,SRH,0.16666666666666666,6.0,36
436757,Heinrich Klaasen,SRH,0.16022099447513813,58.0,362
432783,Sachin Baby,SRH,0.15384615384615385,8.0,52
1125958,Atharva Taide,SRH,0.14634146341463414,12.0,82
784373,Kamindu Mendis,SRH,0.13513513513513514,20.0,148
