MatchLink,TossWonTeam,TossResult,Series,MatchTime,Team1,Team2,Result,Team1Score,Team1Wickets,Team2Score,Team2Wickets
https://www.espncricinfo.com/ci/engine/match/1247030.html,Quetta Gladiators,field,Pakistan Super League,night,Peshawar Zalmi,Quetta Gladiators,Zalmi won by 61 runs,197,5,136,9
https://www.espncricinfo.com/ci/engine/match/1247031.html,Multan Sultans,field,Pakistan Super League,night,Peshawar Zalmi,Multan Sultans,Sultans won by 8 wickets (with 21 balls remaining),166,7,167,2
https://www.espncricinfo.com/ci/engine/match/1247034.html,Peshawar Zalmi,field,Pakistan Super League,night,Karachi Kings,Peshawar Zalmi,Zalmi won by 6 wickets (with 54 balls remaining),108,9,109,4
https://www.espncricinfo.com/ci/engine/match/1247036.html,Peshawar Zalmi,field,Pakistan Super League,daynight,Islamabad United,Peshawar Zalmi,United won by 15 runs,247,2,232,6
https://www.espncricinfo.com/ci/engine/match/1247042.html,Peshawar Zalmi,field,Pakistan Super League,night,Karachi Kings,Peshawar Zalmi,Zalmi won by 5 wickets (with 1 ball remaining),175,7,176,5
https://www.espncricinfo.com/ci/engine/match/1247044.html,Peshawar Zalmi,field,Pakistan Super League,daynight,Multan Sultans,Peshawar Zalmi,Sultans won by 47 runs,206,4,159,9
https://www.espncricinfo.com/ci/engine/match/1269702.html,St Lucia Kings,field,Caribbean Premier League,day,Jamaica Tallawahs,St Lucia Kings,Tallawahs won by 120 runs,255,5,135,10
https://www.espncricinfo.com/ci/engine/match/1269705.html,Barbados Royals,bat,Caribbean Premier League,day,Barbados Royals,Jamaica Tallawahs,Royals won by 15 runs,161,5,146,9
https://www.espncricinfo.com/ci/engine/match/1269709.html,Barbados Royals,bat,Caribbean Premier League,night,Barbados Royals,Jamaica Tallawahs,Tallawahs won by 6 wickets (with 14 balls remaining),151,8,155,4
https://www.espncricinfo.com/ci/engine/match/1269711.html,St Kitts and Nevis Patriots,field,Caribbean Premier League,night,Jamaica Tallawahs,St Kitts and Nevis Patriots,Patriots won by 6 wickets (with 14 balls remaining),166,8,169,4
https://www.espncricinfo.com/ci/engine/match/1269717.html,Trinbago Knight Riders,field,Caribbean Premier League,day,Jamaica Tallawahs,Trinbago Knight Riders,Trinbago won by 7 wickets (with 17 balls remaining),144,7,145,3
https://www.espncricinfo.com/ci/engine/match/1269718.html,Jamaica Tallawahs,field,Caribbean Premier League,day,Trinbago Knight Riders,Jamaica Tallawahs,Trinbago won by 75 runs,167,4,92,10
https://www.espncricinfo.com/ci/engine/match/1269720.html,St Kitts and Nevis Patriots,field,Caribbean Premier League,day,Jamaica Tallawahs,St Kitts and Nevis Patriots,Tallawahs won by 22 runs,169,8,147,8
https://www.espncricinfo.com/ci/engine/match/1269723.html,Jamaica Tallawahs,bat,Caribbean Premier League,night,Jamaica Tallawahs,St Lucia Kings,Tallawahs won by 55 runs,211,10,156,10
https://www.espncricinfo.com/ci/engine/match/1269725.html,Guyana Amazon Warriors,bat,Caribbean Premier League,day,Guyana Amazon Warriors,Jamaica Tallawahs,Amazon won by 46 runs,169,6,123,10
https://www.espncricinfo.com/ci/engine/match/1269728.html,Guyana Amazon Warriors,bat,Caribbean Premier League,day,Guyana Amazon Warriors,Jamaica Tallawahs,Amazon won by 14 runs,142,7,128,10
https://www.espncricinfo.com/ci/engine/match/1291196.html,Dambulla Giants,bat,Lanka Premier League,daynight,Dambulla Giants,Kandy Warriors,Dambulla won by 20 runs,190,7,170,8
https://www.espncricinfo.com/ci/engine/match/1291199.html,Kandy Warriors,bat,Lanka Premier League,night,Kandy Warriors,Galle Gladiators,Galle won by 4 wickets (with 4 balls remaining),143,6,147,6
https://www.espncricinfo.com/ci/engine/match/1291201.html,Kandy Warriors,field,Lanka Premier League,night,Jaffna Kings,Kandy Warriors,Jaffna won by 14 runs (D/L method),181,6,166,5
https://www.espncricinfo.com/ci/engine/match/1304061.html,Lucknow Super Giants,field,Indian Premier League,night,Delhi Capitals,Lucknow Super Giants,LSG won by 6 wickets (with 2 balls remaining),149,3,155,4
https://www.espncricinfo.com/ci/engine/match/1304065.html,Kolkata Knight Riders,field,Indian Premier League,daynight,Delhi Capitals,Kolkata Knight Riders,DC won by 44 runs,215,5,171,10
https://www.espncricinfo.com/ci/engine/match/1304073.html,Delhi Capitals,field,Indian Premier League,night,Royal Challengers Bangalore,Delhi Capitals,RCB won by 16 runs,189,5,173,7
https://www.espncricinfo.com/ci/engine/match/1304080.html,Delhi Capitals,field,Indian Premier League,night,Rajasthan Royals,Delhi Capitals,RR won by 15 runs,222,2,207,8
https://www.espncricinfo.com/ci/engine/match/1304091.html,Lucknow Super Giants,bat,Indian Premier League,daynight,Lucknow Super Giants,Delhi Capitals,LSG won by 6 runs,195,3,189,7
https://www.espncricinfo.com/ci/engine/match/1304096.html,Sunrisers Hyderabad,field,Indian Premier League,night,Delhi Capitals,Sunrisers Hyderabad,DC won by 21 runs,207,3,186,8
https://www.espncricinfo.com/ci/engine/match/1304101.html,Delhi Capitals,field,Indian Premier League,night,Chennai Super Kings,Delhi Capitals,CSK won by 91 runs,208,6,117,10
https://www.espncricinfo.com/ci/engine/match/1304110.html,Punjab Kings,field,Indian Premier League,night,Delhi Capitals,Punjab Kings,DC won by 17 runs,159,7,142,9
https://www.espncricinfo.com/ci/engine/match/1323144.html,St Kitts and Nevis Patriots,field,Caribbean Premier League,night,Jamaica Tallawahs,St Kitts and Nevis Patriots,Tallawahs won by 47 runs,183,2,136,8
https://www.espncricinfo.com/ci/engine/match/1323147.html,Jamaica Tallawahs,field,Caribbean Premier League,day,Guyana Amazon Warriors,Jamaica Tallawahs,Tallawahs won by 4 wickets (with 4 balls remaining),142,6,143,6
https://www.espncricinfo.com/ci/engine/match/1323152.html,St Lucia Kings,field,Caribbean Premier League,night,Jamaica Tallawahs,St Lucia Kings,Kings won by 2 wickets (with 1 ball remaining),163,8,164,8
https://www.espncricinfo.com/ci/engine/match/1323155.html,Trinbago Knight Riders,field,Caribbean Premier League,day,Jamaica Tallawahs,Trinbago Knight Riders,Tallawahs won by 34 runs,153,7,119,8
https://www.espncricinfo.com/ci/engine/match/1323157.html,Barbados Royals,field,Caribbean Premier League,day,Jamaica Tallawahs,Barbados Royals,Royals won by 8 wickets (with 1 ball remaining),156,8,157,2
https://www.espncricinfo.com/ci/engine/match/1323160.html,St Kitts and Nevis Patriots,field,Caribbean Premier League,day,Jamaica Tallawahs,St Kitts and Nevis Patriots,Patriots won by 8 wickets (with 15 balls remaining) (D/L method),139,5,113,2
https://www.espncricinfo.com/ci/engine/match/1323162.html,Jamaica Tallawahs,field,Caribbean Premier League,day,Barbados Royals,Jamaica Tallawahs,Tallawahs won by 6 runs (D/L method),146,6,126,5
https://www.espncricinfo.com/ci/engine/match/1323164.html,Jamaica Tallawahs,bat,Caribbean Premier League,night,Jamaica Tallawahs,Trinbago Knight Riders,Trinbago won by 4 wickets (with 5 balls remaining),116,7,119,6
https://www.espncricinfo.com/ci/engine/match/1323168.html,Jamaica Tallawahs,field,Caribbean Premier League,night,Guyana Amazon Warriors,Jamaica Tallawahs,Amazon won by 12 runs,178,8,166,10
https://www.espncricinfo.com/ci/engine/match/1323175.html,St Lucia Kings,field,Caribbean Premier League,night,Jamaica Tallawahs,St Lucia Kings,Tallawahs won by 33 runs,148,8,115,10
https://www.espncricinfo.com/ci/engine/match/1323176.html,Guyana Amazon Warriors,field,Caribbean Premier League,night,Jamaica Tallawahs,Guyana Amazon Warriors,Tallawahs won by 37 runs,226,4,189,8
https://www.espncricinfo.com/ci/engine/match/1354928.html,Peshawar Zalmi,field,Pakistan Super League,night,Multan Sultans,Peshawar Zalmi,Sultans won by 56 runs,210,3,154,10
https://www.espncricinfo.com/ci/engine/match/1354932.html,Peshawar Zalmi,field,Pakistan Super League,night,Quetta Gladiators,Peshawar Zalmi,Zalmi won by 4 wickets (with 9 balls remaining),154,4,157,6
https://www.espncricinfo.com/ci/engine/match/1354935.html,Islamabad United,field,Pakistan Super League,night,Peshawar Zalmi,Islamabad United,United won by 6 wickets (with 31 balls remaining),156,8,159,4
https://www.espncricinfo.com/ci/engine/match/1354938.html,Lahore Qalandars,bat,Pakistan Super League,night,Lahore Qalandars,Peshawar Zalmi,Qalandars won by 40 runs,241,3,201,9
https://www.espncricinfo.com/ci/engine/match/1354940.html,Karachi Kings,field,Pakistan Super League,night,Peshawar Zalmi,Karachi Kings,Zalmi won by 24 runs,197,5,173,8
https://www.espncricinfo.com/ci/engine/match/1354948.html,Peshawar Zalmi,bat,Pakistan Super League,night,Peshawar Zalmi,Quetta Gladiators,Gladiators won by 8 wickets (with 10 balls remaining),240,2,243,2
https://www.espncricinfo.com/ci/engine/match/1354950.html,Peshawar Zalmi,bat,Pakistan Super League,night,Peshawar Zalmi,Multan Sultans,Sultans won by 4 wickets (with 5 balls remaining),242,6,244,6
https://www.espncricinfo.com/ci/engine/match/1359477.html,Delhi Capitals,field,Indian Premier League,night,Lucknow Super Giants,Delhi Capitals,LSG won by 50 runs,193,6,143,9
https://www.espncricinfo.com/ci/engine/match/1359485.html,Delhi Capitals,field,Indian Premier League,daynight,Rajasthan Royals,Delhi Capitals,RR won by 57 runs,199,4,142,9
https://www.espncricinfo.com/ci/engine/match/1369559.html,St Lucia Kings,bat,Caribbean Premier League,night,St Lucia Kings,Barbados Royals,Kings won by 54 runs,201,6,147,10
https://www.espncricinfo.com/ci/engine/match/1369567.html,Barbados Royals,field,Caribbean Premier League,night,St Kitts and Nevis Patriots,Barbados Royals,Royals won by 6 wickets (with 9 balls remaining),197,6,200,4
https://www.espncricinfo.com/ci/engine/match/1369570.html,Barbados Royals,field,Caribbean Premier League,night,Trinbago Knight Riders,Barbados Royals,Trinbago won by 133 runs,194,5,61,10
https://www.espncricinfo.com/ci/engine/match/1369571.html,Barbados Royals,field,Caribbean Premier League,night,Jamaica Tallawahs,Barbados Royals,Royals won by 6 wickets (with 6 balls remaining),160,7,161,4
https://www.espncricinfo.com/ci/engine/match/1369573.html,Barbados Royals,field,Caribbean Premier League,night,St Lucia Kings,Barbados Royals,Kings won by 90 runs,195,6,105,10
https://www.espncricinfo.com/ci/engine/match/1369575.html,St Kitts and Nevis Patriots,bat,Caribbean Premier League,night,St Kitts and Nevis Patriots,Barbados Royals,Royals won by 8 wickets (with 11 balls remaining),220,4,223,2
https://www.espncricinfo.com/ci/engine/match/1369577.html,Barbados Royals,field,Caribbean Premier League,night,Trinbago Knight Riders,Barbados Royals,Trinbago won by 42 runs,208,6,166,7
