ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,MatchDate,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,RainProb,MaxWind,WeatherCode,Tournament,BattingOrder,Extracted_IDs
1246528,6,0.0,2,0,Andhra,Vadodara,2021-11-04,bat,day,0,5,0,1.142,7.47,22.42,0.6,6.96,19.59,0.764,7.5,22.28,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,33.1,17.6,0.0,12.8,3.0,Other,4,"1079839, 1207295, 853265, 1175485, 1209292, 1206052, 390481, 497121, 390481"
1246528,6,100.0,2,0,Himachal,Vadodara,2021-11-08,bat,day,0,-2,0,1.142,7.47,22.42,0.6,6.96,19.59,0.764,7.5,22.28,1.0,1,0,0,0,1.5393,1.5393,1.9422,1.0927,32.7,19.2,0.0,18.7,3.0,Other,4,"853265, 390481, 1175496, 537119, 1175496, 497121, 430246, 1070188, 1175441, 1079839, 423838, 1175485, 390481"
1246528,6,100.0,2,0,LSG,DY Patil,2022-04-04,field,night,1,5,0,0.645,8.17,24.42,1.058,8.42,26.93,0.961,8.2,24.72,1.0,2,0,0,0,1.5393,1.5393,1.3382,1.0927,35.2,24.3,0.0,21.4,2.0,IPL,4,"600498, 677077, 1151270, 1175485, 604302, 326016, 719715, 422108, 471342, 290630, 497121, 446763, 1070183, 379143"
1246528,6,100.0,2,1,RCB,Wankhede,2022-05-08,bat,daynight,0,-4,0,1.25,8.23,27.2,1.318,7.97,25.2,0.732,8.32,26.77,2.0,3,0,0,0,1.5393,1.5393,1.3382,1.0927,29.5,28.4,0.0,37.7,3.0,IPL,4,"44828, 326016, 600498, 604302, 1070183, 446763, 253802, 377534, 823703, 974175, 325026"
1246528,6,66.66666667,2,0,KKR,Pune,2022-05-14,bat,night,0,5,0,0.71,8.01,23.29,0.571,6.86,28.62,1.241,7.6,22.22,2.0,4,0,0,1,1.2373,1.2373,1.3382,1.0927,36.9,22.4,0.0,21.9,2.0,IPL,4,"230558, 851403, 1070183, 446763, 719715, 600498, 642519, 604302, 326016, 277916, 276298, 377534, 723105, 604527, 696401"
1246528,6,62.5,1,0,Punjab Kings,Wankhede,2022-05-22,bat,night,1,-2,0,1.25,8.23,27.2,0.758,7.95,25.67,0.732,8.29,26.23,5.0,5,0,0,1,1.2373,1.4939,1.3382,1.0927,30.0,29.2,0.2,31.2,51.0,IPL,4,"721867, 446763, 1070183, 719715, 677077, 403902, 604302, 326016, 600498, 719719"
1246528,6,55.55555556,2,1,Karnataka,Mullanpur,2022-10-16,bat,day,0,-4,0,0.647,7.9,18.27,1.25,7.32,18.96,1.333,7.35,18.51,5.0,6,0,0,1,1.0863,1.3429,1.3382,1.0927,28.9,16.9,0.0,11.2,0.0,Other,4,"1057399, 1175485, 425943, 432783, 432783, 778963, 1206052, 1155253, 290630, 344580, 778963, 732293, 1119026"
1246528,6,35.71428571,2,0,Kerala,Mohali,2022-10-20,bat,day,0,32,0,1.23,8.32,27.96,1.357,8.17,27.53,0.61,8.3,28.75,2.5,7,0,0,2,0.9353,1.1591,1.3382,1.0927,28.0,16.4,0.0,20.7,3.0,Other,4,"432783, 425943, 432783, 732293, 1175485"
1246528,6,80.76923077,2,0,Sri Lanka,Pune,2023-01-05,field,night,1,5,1,0.71,7.73,26.31,0.954,7.97,26.96,1.241,7.6,22.22,10.5,8,0,0,2,1.8145,1.4611,1.6402,1.0927,29.6,16.8,0.0,12.9,3.0,Bilateral,4,"446507, 554691, 446507, 497121, 720471, 1070173, 720471, 554691, 720471, 784379, 1070173, 497121, 625371, 720471, 625371, 784379, 446763"
1246528,6,81.48148148,2,0,New Zealand,Ranchi,2023-01-27,field,night,1,18,1,1.052,7.92,24.62,1.3,8.07,23.79,0.666,8.15,25.78,11.0,9,0,0,2,1.8145,2.4973,1.3382,1.0927,25.8,15.4,0.0,15.6,3.0,Bilateral,4,"1070173, 1070173, 720471, 720471, 446763, 720471, 719715, 379140, 446507, 823509, 823509, 559235, 379140, 497121, 1125976, 625371, 625371, 502714, 720471, 559235, 719715, 502714, 1125976, 497121, 446507"
