Year,Player Names
2022,"Abhinav Manohar, David Miller, Rahmanullah Gurbaz, Shubman Gill, Matthew Wade, Wriddhiman Saha, Gurkeerat Mann Singh, Hardik Pandya, B. Sai Sudharsan, Darshan Nalkande, Jayant Yadav, Vijay Shankar, Sai Kishore, Dominic Drakes, Pradeep Sangwan, Rahul Tewatia, Alzarri Joseph, Lockie Ferguson, Mohammad Shami, Noor Ahmad, Rashid Khan, Varun Aaron, Yash Dayal"
2023,"Abhinav Manohar, David Miller, Shubman Gill, Matthew Wade, Wriddhiman Saha, Kane Williamson, Urvil Patel, K.S Bharat, Hardik Pandya, B. Sai Sudharsan, Darshan Nalkande, Jayant Yadav, Vijay Shankar, Sai Kishore, Odean Smith, Dasun shanaka, Pradeep Sangwan, Rahul Tewatia, Shivam Mavi, Alzarri Joseph, Mohammad Shami, Noor Ahmad, Rashid Khan, Yash Dayal, Joshua Little, Mohit Sharma"
2024,"Shubman Gill, Abhinav Manohar, David Miller, Matthew Wade, Wriddhiman Saha, BR Sharath, Kane Williamson, B. Sai Sudharsan, Darshan Nalkande, Jayant Yadav, Vijay Shankar, Sai Kishore, Azmatullah Omarzai, Shahrukh Khan, Sandeep Warrier, Gurnoor Brar, Rahul Tewatia, Mohammad Shami, Kartik Tyagi, Sushant Mishra, Spencer Johnson, Noor Ahmad, Umesh Yadav, Rashid Khan, Joshua Little, Mohit Sharma, Manav Suthar"
2025,"Shubman Gill, Jos Buttler, Kumar Kushagra, Anuj Rawat, Sherfane Rutherford, Glenn Phillips, Nishant Sindhu, Mahipal Lomror, Washington Sundar, Mohd. Arshad Khan, Sai Kishore, Jayant Yadav, Karim Janat, B. Sai Sudharsan, Shahrukh Khan, Kagiso Rabada, Mohammed Siraj, Prasidh Krishna, Manav Suthar, Gerald Coetzee, Gurnoor Singh Brar, Ishant Sharma, Kulwant Khejroliya, Rahul Tewatia, Rashid Khan"
