Player Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Pravin Dubey,,,,,,,,,RCB,RCB,,,DC,DC,DC,DC,DC,PK
Marcus Stoinis,,,,,,,,DC,PK,PK,PK,RCB,DC,DC,LSG,LSG,LSG,PK
Prabhsimran Singh,,,,,,,,,,,,PK,PK,PK,PK,PK,PK,PK
Yash Thakur,,,,,,,,,,,,,,,,LSG,LSG,PK
Harshal Patel,,,,,RCB,RCB,RCB,RCB,RCB,RCB,DC,DC,DC,RCB,RCB,RCB,PK,SRH
Ashutosh Sharma,,,,,,,,,,,,,,,,,PK,DC
Josh Inglis,,,,,,,,,,,,,,,,,,PK
Priyansh Arya,,,,,,,,,,,,,,,,,,PK
Harnoor Pannu,,,,,,,,,,,,,,,,,,PK
Rahul Chahar,,,,,,,,,,,MI,MI,MI,MI,PK,PK,PK,SRH
Nathan Ellis,,,,,,,,,,,,,,PK,PK,PK,PK,CSK
Raj Angad Bawa,,,,,,,,,,,,,,,PK,PK,,MI
Vyshak Vijaykumar,,,,,,,,,,,,,,,,RCB,RCB,PK
Axar Patel,,,,,,MI,PK,PK,PK,PK,PK,DC,DC,DC,DC,DC,DC,DC
Pat Cummins,,,,,,,KKR,KKR,,DC,,,KKR,KKR,KKR,,SRH,SRH
Sanju Samson,,,,,KKR,RR,RR,RR,DC,DC,RR,RR,RR,RR,RR,RR,RR,RR
Rahul Tripathi,,,,,,,,,,,RR,RR,KKR,KKR,SRH,SRH,SRH,CSK
Ramandeep Singh,,,,,,,,,,,,,,,MI,MI,KKR,KKR
Jaydev Unadkat,,,KKR,KKR,KKR,RCB,DC,DC,KKR,,RR,RR,RR,RR,MI,LSG,SRH,SRH
Anukul Roy,,,,,,,,,,,MI,MI,MI,MI,KKR,KKR,KKR,KKR
Kuldeep Yadav,,,,,MI,,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,DC,DC,DC,DC
Nitish Rana,,,,,,,,MI,MI,MI,KKR,KKR,KKR,KKR,KKR,KKR,KKR,RR
Luvnith Sisodia,,,,,,,,,,,,,,,RCB,,,KKR
M Siddharth,,,,,,,,,,,,,KKR,DC,,,LSG,LSG
Angkrish Raghuvanshi,,,,,,,,,,,,,,,,,KKR,KKR
Ajinkya Rahane,MI,MI,,RR,RR,RR,RR,RR,,,RR,RR,DC,DC,KKR,CSK,CSK,KKR
Harshit Rana,,,,,,,,,,,,,,,KKR,KKR,KKR,KKR
Sunil Narine,,,,,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR
Mayank Markande,,,,,,,,,,,MI,MI,RR,RR,MI,SRH,SRH,KKR
Anrich Nortje,,,,,,,,,,,,,DC,DC,DC,DC,DC,KKR
Andre Russell,,,,,DC,DC,KKR,KKR,KKR,,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR
Ashok Sharma,,,,,,,,,,,,,,,KKR,,,RR
Manish Pandey,MI,RCB,RCB,,,,KKR,KKR,KKR,KKR,SRH,SRH,SRH,SRH,LSG,DC,KKR,KKR
Rovman Powell,,,,,,,,,,KKR,,,,,DC,DC,RR,KKR
Quinton de Kock,,,,,,SRH,DC,DC,DC,,RCB,MI,MI,MI,LSG,LSG,LSG,KKR
Umran Malik,,,,,,,,,,,,,,SRH,SRH,SRH,SRH,KKR
Phil Salt,,,,,,,,,,,,,,,,DC,KKR,RCB
Kamlesh Nagarkoti,,,,,,,,,,,,,KKR,KKR,DC,DC,,CSK
Moeen Ali,,,,,,,,,,,RCB,RCB,RCB,CSK,CSK,CSK,CSK,KKR
Trent Boult,,,,,,,,SRH,SRH,KKR,DC,DC,MI,MI,RR,RR,RR,MI
Rasikh Dar,,,,,,,,,,,,,,,KKR,,DC,RCB
Mitchell Starc,,,,,,,RCB,RCB,RCB,,,,,,,,KKR,DC
Suryakumar Yadav,,,,MI,MI,MI,KKR,KKR,KKR,KKR,MI,MI,MI,MI,MI,MI,MI,MI
Suyash Sharma,,,,,,,,,,,,,,,,KKR,KKR,RCB
Dushmantha Chameera,,,,,,,,,,,RR,,,RCB,LSG,,KKR,DC
Venkatesh Iyer,,,,,,,,,,,,,,KKR,KKR,KKR,KKR,KKR
Wanindu Hasaranga,,,,,,,,,,,,,,RCB,RCB,RCB,SRH,RR
Nitish Kumar Reddy,,,,,,,,,,,,,,,,SRH,SRH,SRH
Wiaan Mulder,,,,,,,,,,,,,,,,,,SRH
Shahbaz Ahmed,,,,,,,,,,,,,RCB,RCB,RCB,RCB,SRH,LSG
Travis Head,,,,,,,,DC,RCB,RCB,,,,,,,SRH,SRH
Karn Sharma,,,,,,SRH,SRH,SRH,SRH,MI,CSK,CSK,CSK,CSK,RCB,RCB,RCB,MI
Ishan Kishan,,,,,,,,,,,MI,MI,MI,MI,MI,MI,MI,SRH
Abdul Samad,,,,,,,,,,,,,SRH,SRH,SRH,SRH,SRH,LSG
Aniket Varma,,,,,,,,,,,,,,,,,,SRH
Khaleel Ahmed,,,,,,,,,DC,DC,SRH,SRH,SRH,SRH,DC,DC,DC,CSK
Abhishek Sharma,,,,,,,,,,,DC,SRH,SRH,SRH,SRH,SRH,SRH,SRH
Bhuvneshwar Kumar,,RCB,RCB,,,,SRH,SRH,SRH,SRH,SRH,SRH,SRH,SRH,SRH,SRH,SRH,RCB
Romario Shepherd,,,,,,,,,,,,,,,SRH,LSG,MI,RCB
Zeeshan Ansari,,,,,,,,,,,,,,,,,,SRH
Simarjeet Singh,,,,,,,,,,,,,,MI,CSK,CSK,CSK,SRH
Eshan Malinga,,,,,,,,,,,,,,,,,,SRH
Fazalhaq Farooqi,,,,,,,,,,,,,,,SRH,SRH,SRH,RR
Harry Brook,,,,,,,,,,,,,,,,SRH,DC,DC
Adam Zampa,,,,,,,,,,,,,RCB,RCB,,RR,,SRH
Shreyas Gopal,,,,,,,MI,MI,MI,MI,RR,RR,RR,RR,SRH,,MI,CSK
Heinrich Klaasen,,,,,,,,,,,RR,RCB,,,,SRH,SRH,SRH
Akash Singh,,,,,,,,,,,,,RR,RR,,CSK,SRH,LSG
Kamindu Mendis,,,,,,,,,,,,,,,,,,SRH
Mitchell Marsh,,,,,,,,,,,,,SRH,,DC,DC,DC,LSG
Sachin Baby,,,,,,RR,,,RCB,RCB,SRH,,,RCB,,,,SRH
Akash Deep,,,,,,,,,,,,,,RCB,RCB,RCB,RCB,LSG
Aryan Juyal,,,,,,,,,,,,,,,MI,,,LSG
Ayush Badoni,,,,,,,,,,,,,,,LSG,LSG,LSG,LSG
Krunal Pandya,,,,,,,,,MI,MI,MI,MI,MI,MI,LSG,LSG,LSG,RCB
Himmat Singh,,,,,,,,,,,,RCB,,,,,,LSG
Rishabh Pant,,,,,,,,,DC,DC,DC,DC,DC,DC,DC,DC,DC,LSG
Prince Yadav,,,,,,,,,,,,,,,,,,LSG
Mohsin Khan,,,,,,,,,,,MI,,MI,MI,LSG,LSG,LSG,LSG
Yuvraj Chaudhary,,,,,,,,,,,,,,,,,,LSG
Mayank Yadav,,,,,,,,,,,,,,,LSG,LSG,LSG,LSG
Rajvardhan Hangargekar,,,,,,,,,,,,,,,CSK,CSK,CSK,LSG
Shamar Joseph,,,,,,,,,,,,,,,,,LSG,LSG
Yudhvir Singh,,,,,,,,,,,,,,MI,,LSG,LSG,RR
Arshin Kulkarni,,,,,,,,,,,,,,,,,LSG,LSG
Matthew Breetzke,,,,,,,,,,,,,,,,,,LSG
Digvesh Singh,,,,,,,,,,,,,,,,,,LSG
Avesh Khan,,,,,,,,,,RCB,DC,DC,DC,DC,LSG,LSG,RR,LSG
Devdutt Padikkal,,,,,,,,,,,,RCB,RCB,RCB,RR,RR,LSG,RCB
Manoj Bhandage,,,,,,,,,,,,,,,,RCB,RCB,RCB
Shimron Hetmyer,,,,,,,,,,,,RCB,DC,DC,RR,RR,RR,RR
Lungi Ngidi,,,,,,,,,,,CSK,,CSK,CSK,DC,DC,,RCB
Swastik Chikara,,,,,,,,,,,,,,,,,DC,RCB
Rajat Patidar,,,,,,,,,,,,,,RCB,RCB,RCB,RCB,RCB
Jacob Bethell,,,,,,,,,,,,,,,,,,RCB
Reece Topley,,,,,,,,,,,,,,,,RCB,RCB,MI
Shivam Dube,,,,,,,,,,,,RCB,RCB,RR,CSK,CSK,CSK,CSK
Faf du Plessis,,,,CSK,CSK,CSK,CSK,CSK,,,CSK,CSK,CSK,CSK,RCB,RCB,RCB,DC
Virat Kohli,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB
Nuwan Thushara,,,,,,,,,,,,,,,,,MI,RCB
Tim David,,,,,,,,,,,,,,RCB,MI,MI,MI,RCB
Josh Hazlewood,,,,,,,MI,MI,,,,,CSK,CSK,RCB,RCB,,RCB
Abhinandan Singh,,,,,,,,,,,,,,,,,,RCB
Will Jacks,,,,,,,,,,,,,,,,RCB,RCB,MI
Ravindra Jadeja,RR,RR,,,CSK,CSK,CSK,CSK,,,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK
Riyan Parag,,,,,,,,,,,,RR,RR,RR,RR,RR,RR,RR
Akash Madhwal,,,,,,,,,,,,,,,MI,MI,MI,RR
Donovan Ferreira,,,,,,,,,,,,,,,,RR,RR,DC
Corbin Bosch,,,,,,,,,,,,,,,RR,,,MI
Yashasvi Jaiswal,,,,,,,,,,,,,RR,RR,RR,RR,RR,RR
Maheesh Theekshana,,,,,,,,,,,,,,,CSK,CSK,CSK,RR
Kumar Kartikeya,,,,,,,,,,,,,,,MI,MI,MI,RR
Jofra Archer,,,,,,,,,,,RR,RR,RR,RR,MI,MI,,RR
Dhruv Jurel,,,,,,,,,,,,,,,RR,RR,RR,RR
Shubham Dubey,,,,,,,,,,,,,,,,,RR,RR
Kunal Rathore,,,,,,,,,,,,,,,,RR,RR,RR
Vaibhav Suryavanshi,,,,,,,,,,,,,,,,,,RR
Kwena Maphaka,,,,,,,,,,,,,,,,,MI,RR
Tushar Deshpande,,,,,,,,,,,,,DC,,CSK,CSK,CSK,RR
Deepak Chahar,,,,RR,RR,,,,,,CSK,CSK,CSK,CSK,CSK,CSK,CSK,MI
Mukesh Kumar,,,,,,,,,,,,,,,,DC,DC,DC
Tripurana Vijay,,,,,,,,,,,,,,,,,,DC
Madhav Tiwari,,,,,,,,,,,,,,,,,,DC
Sameer Rizvi,,,,,,,,,,,,,,,,,CSK,DC
Abishek Porel,,,,,,,,,,,,,,,,DC,DC,DC
Jake Fraser-McGurk,,,,,,,,,,,,,,,,,DC,DC
Ajay Mandal,,,,,,,,,,,,,,,,CSK,CSK,DC
Vipraj Nigam,,,,,,,,,,,,,,,,,,DC
Manvanth Kumar,,,,,,,,,,,,,,,,,,DC
Tristan Stubbs,,,,,,,,,,,,,,,MI,MI,DC,DC
Jasprit Bumrah,,,,,,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI
Arjun Tendulkar,,,,,,,,,,,,,,MI,MI,MI,MI,MI
Anshul Kamboj,,,,,,,,,,,,,,,,,MI,CSK
Ashwani Kumar,,,,,,,,,,,,,,,,,,MI
Tilak Varma,,,,,,,,,,,,,,,MI,MI,MI,MI
Bevon Jacobs,,,,,,,,,,,,,,,,,,MI
Mitchell Santner,,,,,,,,,,,CSK,CSK,CSK,CSK,CSK,CSK,CSK,MI
Naman Dhir,,,,,,,,,,,,,,,,,MI,MI
Satyanarayana Raju,,,,,,,,,,,,,,,,,,MI
Robin Minz,,,,,,,,,,,,,,,,,,MI
Rohit Sharma,,,,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI
Ryan Rickelton,,,,,,,,,,,,,,,,,,MI
Shrijith Krishnan,,,,,,,,,,,,,,,,,,MI
Vignesh Puthur,,,,,,,,,,,,,,,,,,MI
Rachin Ravindra,,,,,,,,,,,,,,,,,CSK,CSK
Mukesh Choudhary,,,,,,,,,,,,,,,CSK,CSK,CSK,CSK
Devon Conway,,,,,,,,,,,,,,,CSK,CSK,CSK,CSK
Gurjapneet Singh,,,,,,,,,,,,,,,,,,CSK
Andre Siddharth,,,,,,,,,,,,,,,,,,CSK
Ramakrishna Ghosh,,,,,,,,,,,,,,,,,,CSK
Vansh Bedi,,,,,,,,,,,,,,,,,,CSK
Jamie Overton,,,,,,,,,,,,,,,,,,CSK
Ruturaj Gaikwad,,,,,,,,,,,,CSK,CSK,CSK,CSK,CSK,CSK,CSK
MS Dhoni,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,,,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK
Shaik Rasheed,,,,,,,,,,,,,,,,CSK,CSK,CSK
Matheesha Pathirana,,,,,,,,,,,,,,,CSK,CSK,CSK,CSK
