Player Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Nikhil Naik,,,,,,,,PK,PK,PK,,KKR,KKR,,,,,
Sandeep Sharma,,,,,,PK,PK,PK,PK,PK,SRH,SRH,SRH,SRH,PK,RR,RR,RR
Dimitri Mascarenhas,RR,,RR,PK,PK,PK,,,,,,,,,,,,
Eoin Morgan,,,RCB,KKR,KKR,KKR,,SRH,SRH,PK,,,KKR,KKR,,,,
Praveen Kumar,RCB,RCB,RCB,PK,PK,PK,MI,SRH,,,,,,,,,,
Ravi Bopara,,PK,PK,,,,,SRH,,,,,,,,,,
Yuzvendra Chahal,,,,MI,MI,,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RR,RR,RR,PK
Aniket Choudhary,,,,,,PK,,,,RCB,RCB,,,,,,,
Martin Guptill,,,,,,,,,MI,PK,,SRH,,,,,,
Akshdeep Nath,,,,,,,,,,,PK,RCB,,,,,,
Karun Nair,,,,,RCB,RCB,RR,RR,DC,DC,PK,PK,PK,KKR,RR,LSG,,DC
Agnivesh Ayachi,,,,,,,,,,,,PK,,,,,,
Ryan Ninan,,PK,,RCB,RCB,,,,,,,,,,,,,
Varun Chakaravarthy,,,,,,,,,,,,PK,KKR,KKR,KKR,KKR,KKR,KKR
Vaibhav Arora,,,,,,,,,,,,,,KKR,PK,KKR,KKR,KKR
Mayank Dagar,,,,,,,,,,,PK,,,,,SRH,RCB,
Shaun Marsh,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,,,,,,,,
Marco Jansen,,,,,,,,,,,,,,MI,SRH,SRH,SRH,PK
Mohammad Kaif,RR,,PK,RCB,RCB,,,,,,,,,,,,,
Chris Gayle,KKR,KKR,KKR,RCB,RCB,RCB,RCB,RCB,RCB,RCB,PK,PK,PK,PK,,,,
Juan Theron,,,PK,,,,,RR,,,,,,,,,,
Shashank Singh,,,,,,,,,,DC,,RR,RR,,SRH,,PK,PK
Sarfaraz Khan,,,,,,,,RCB,RCB,,RCB,PK,PK,PK,DC,DC,,
Deepak Hooda,,,,,,,RR,RR,SRH,SRH,SRH,SRH,PK,PK,LSG,LSG,LSG,CSK
Sikandar Raza,,,,,,,,,,,,,,,,PK,PK,
Pyla Avinash,,,,,,,,,,,,,,,,,,PK
Vishnu Vinod,,,,,,,,,,RCB,,,,DC,SRH,MI,MI,PK
Vidwath Kaverappa,,,,,,,,,,,,,,,,PK,PK,
Mohit Rathee,,,,,,,,,,,,,,,,PK,,RCB
Nehal Wadhera,,,,,,,,,,,,,,,,MI,MI,PK
Aiden Markram,,,,,,,,,,,,,,PK,SRH,SRH,SRH,LSG
Luke Pomersbach,PK,PK,,RCB,RCB,PK,,,,,,,,,,,,
KL Rahul,,,,,,RCB,SRH,SRH,RCB,,PK,PK,PK,PK,LSG,LSG,LSG,DC
Harpreet Brar,,,,,,,,,,,,PK,PK,PK,PK,PK,PK,PK
Parvinder Awana,,,,,PK,PK,PK,PK,,,,,,,,,,
Paras Dogra,,,RR,PK,PK,KKR,,,,,,,,,,,,
Shardul Thakur,,,,,,,PK,PK,PK,,CSK,CSK,CSK,CSK,DC,KKR,CSK,
James Faulkner,,,,,PK,RR,RR,RR,,,,,,,,,,
Shikhar Dhawan,DC,MI,MI,,,SRH,SRH,SRH,SRH,SRH,SRH,DC,DC,DC,PK,PK,PK,
Tanay Thyagarajann,,,,,,,,,,,,,,,,,PK,
Piyush Chawla,PK,PK,PK,PK,PK,PK,KKR,KKR,KKR,KKR,KKR,KKR,CSK,MI,,MI,MI,
Mandeep Singh,,,,PK,PK,PK,PK,RCB,RCB,RCB,RCB,PK,PK,PK,DC,KKR,,
Tanmay Srivastava,PK,PK,PK,,,,,,,,,,,,,,,
Riley Meredith,,,,,,,,,,,,,,PK,MI,MI,,
Jagadeesha Suchith,,,,,,,,MI,MI,MI,,DC,PK,SRH,SRH,,,
Barinder Sran,,,,,,,,RR,SRH,SRH,PK,MI,,,,,,
Xavier Bartlett,,,,,,,,,,,,,,,,,,PK
Utkarsh Singh,,,,,,,,,,,,,,PK,,,,
Shivam Sharma,,,,,,,PK,PK,,,,,,,,,,
