Player Name,2011,2012,2013,2018,2019,2020,2021,2022,2023,2024
Riley Meredith,,,,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes
Mitchell Owen,,,,,,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes
Billy Stanlake,,,,Adelaide Strikers,Adelaide Strikers,Melbourne Stars,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes
Matthew Wade,Melbourne Stars,Melbourne Stars,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes
Corey Anderson,,,,,,,,,Hobart Hurricanes,
Iain Carlisle,,,,,,,,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes
Sam Hain,,,,,,,,Brisbane Heat,Hobart Hurricanes,
Peter Hatzoglou,,,,,,Melbourne Renegades,Perth Scorchers,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes
Chris Jordan,,,,Sydney Thunder,Perth Scorchers,,Sydney Sixers,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes
Macalister Wright,,,,,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes
Nikhil Chaudhary,,,,,,,,,Hobart Hurricanes,Hobart Hurricanes
Sam Heazlett,,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Hobart Hurricanes,
Aaron Finch,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,
Mackenzie Harvey,,,,Melbourne Renegades,,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades
Nic Maddinson,Sydney Sixers,Sydney Sixers,Sydney Sixers,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Sydney Thunder
Shaun Marsh,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,
Kane Richardson,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades
Tom Rogers,,,,,,,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades
Jonathan Wells,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades
Quinton de Kock,,,,,,,,,Melbourne Renegades,
Jake Fraser-McGurk,,,,,,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades
Nathan Lyon,Adelaide Strikers,Adelaide Strikers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Melbourne Renegades,Melbourne Renegades
Peter Siddle,Melbourne Stars,,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Melbourne Renegades,Melbourne Stars
Will Sutherland,,,,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades
Mujeeb Ur Rahman,,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,
Adam Zampa,,Sydney Thunder,Adelaide Strikers,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Renegades,Melbourne Renegades
Joe Clarke,,,,,,Perth Scorchers,Melbourne Stars,Melbourne Stars,Melbourne Renegades,Melbourne Stars
Harry Dixon,,,,,,,,,Melbourne Renegades,Melbourne Renegades
Ruwantha Kellepotha,,,,,,,,Melbourne Renegades,Melbourne Renegades,
