Embedding_1,Embedding_2,Embedding_3,Embedding_4,Embedding_5,Embedding_6,Embedding_7,Embedding_8
0.48846874,2.6108358,6.5554442,5.842348,2.5772476,2.8169553,6.0269284,5.2188215
13.519615,2.5059872,6.746787,1.3618293,6.122972,5.543774,2.7739148,7.123866
13.312794,3.9892027,7.4372854,1.30221,5.3673973,7.369067,1.2286079,8.093494
7.1179843,9.036043,4.185809,4.105666,2.0461063,5.67436,1.7936862,8.106154
13.125387,4.202396,7.6835756,1.7738223,4.901126,6.9531393,0.8859642,7.926712
13.675725,3.728524,6.9592814,1.0518806,5.7263536,7.019008,1.5242826,8.214642
13.435799,3.8007882,7.1406965,1.1736144,5.572589,7.2540054,1.3123801,8.184015
13.614438,2.6356702,6.8218794,1.0793047,6.1816015,5.7519493,2.752415,7.0765495
13.607045,3.3642669,6.7000237,1.2447776,5.8226867,5.6347747,2.059329,7.5085087
13.556636,2.5081873,6.812033,1.2887522,6.192031,5.6193466,2.840655,7.0627594
13.442249,2.5563095,6.71701,1.3893222,6.0414953,5.450906,2.7385917,7.1510406
13.253488,4.181165,7.329996,1.9904553,4.994839,5.718002,0.9204511,7.4710693
13.762604,3.5997543,6.671431,0.9790516,5.9207473,6.1270037,1.8261168,7.884362
13.71558,3.5785668,6.7791786,0.9661423,5.862632,6.25717,1.8448904,8.007294
13.047472,4.238798,7.542696,1.7400304,4.9935107,6.7891765,0.9692743,7.8828087
6.905524,8.529655,4.460631,3.9265227,2.149148,5.4148784,2.0633194,7.7786407
7.354154,9.206208,4.1996694,3.9935498,2.0998209,5.833205,1.8159189,8.088407
7.218644,9.010816,4.187981,4.1033225,2.0686936,5.6915045,1.775283,8.120436
9.400563,9.154646,5.193804,2.9637277,2.5773814,6.3454742,2.1112149,7.558562
6.30662,8.661829,4.1478195,4.157228,1.9111218,5.2629995,1.9252534,7.8758917
7.8339686,8.916174,4.586712,3.6861506,2.261982,5.8353987,1.9816821,7.800613
8.809884,9.042012,4.960113,3.2033844,2.4216905,6.1883564,2.080098,7.6484365
7.627601,8.9001,4.50881,3.7836196,2.2022133,5.771025,1.9488385,7.8605175
13.670608,3.5100179,6.7036953,1.1750796,5.8313656,5.7370405,1.939788,7.6293616
2.5230865,1.2852589,3.449403,4.50087,3.691758,2.2790205,10.173864,2.6806552
5.8163633,8.293636,4.287273,4.2639756,1.9131802,4.8979554,2.1880417,7.648724
13.465145,3.708682,7.140815,1.1627499,5.592257,7.340166,1.3397753,8.1158
13.710325,3.6032465,6.9100885,0.97342116,5.859677,6.762659,1.7108339,8.099808
0.45165527,2.2215936,6.1649437,5.4266686,2.3918638,2.6362646,6.998098,4.1020403
2.3574557,1.4018853,3.8577597,4.7823644,3.2268317,1.1916147,9.900496,2.680618
0.4984915,2.649543,6.448893,5.906627,2.799652,2.783278,6.0822463,5.407023
2.345091,1.3811707,3.8113298,4.8278713,3.295239,1.3313537,9.872856,2.7717597
2.4496303,1.4357065,3.8306613,4.6906953,3.1771028,1.0724512,9.997227,2.574179
2.1762223,1.6228963,4.137945,5.269861,2.9824202,1.3201407,9.477886,2.8723316
2.2707787,1.5105544,3.8603296,5.055766,3.1902103,1.4336067,9.657126,2.8901422
2.3216608,1.3585662,3.8369598,4.754729,3.297469,1.2016898,9.871131,2.6863935
2.32827,1.3904359,3.834501,4.8683395,3.2766519,1.2902017,9.844476,2.7817967
0.5101727,2.5741336,6.5653033,5.9373746,2.3667073,2.9148235,6.2135124,5.056718
5.930375,8.203292,4.3988657,4.1847763,1.9933925,4.9495053,2.2846153,7.6126804
0.45207328,2.592903,6.6233435,5.825981,2.4675636,2.8187032,6.0032845,5.1204395
0.43391725,2.2320132,6.155919,5.393161,2.4085784,2.607503,7.0552034,4.047076
2.3920615,1.3227074,3.7213924,4.754353,3.4224052,1.538037,9.951758,2.776658
2.218185,1.6591545,4.0710735,5.173083,2.939581,1.2457163,9.45968,2.9305036
13.142688,4.185601,7.4111314,2.1834316,4.9490075,5.7228894,0.7587051,7.396635
6.699408,8.47619,4.4413056,3.9799633,2.1156654,5.335235,2.0934362,7.752238
7.4931307,8.83257,4.5000014,3.8172312,2.199717,5.704596,1.9659653,7.842368
13.2555275,4.1920877,7.3686476,2.0677223,4.971689,5.6496186,0.8423604,7.4260936
6.0761,8.438137,4.3031793,4.1927633,1.9310867,5.0756483,2.108723,7.7501626
13.501623,3.4970138,7.159595,1.1875829,5.7269526,7.1797557,1.6679642,7.9028673
0.50204915,2.8023157,6.5715766,5.8678718,2.74213,2.859968,5.8452044,5.5091352
5.6900887,8.115924,4.3694086,4.3133564,1.8728431,4.794038,2.3266819,7.544975
2.526977,1.2548072,3.4664783,4.4827743,3.6960979,2.2584484,10.181156,2.692033
5.4317737,7.925343,4.406512,4.4806223,1.6529253,4.6900215,2.5019486,7.470636
7.328139,9.092875,4.2488155,3.9737897,2.0547235,5.777289,1.7789447,8.07043
4.7715383,7.43084,4.6003146,4.941416,1.2217729,4.373038,2.9242654,7.2892513
0.59204406,2.407745,6.1916227,5.7969193,2.4344103,2.7792552,6.7059445,4.651186
5.583433,8.026023,4.3726425,4.359165,1.7784686,4.7694163,2.4056897,7.553434
6.235294,8.528337,4.274924,4.1435637,1.9439709,5.181457,2.0447617,7.803016
6.351831,8.40321,4.3997517,4.07119,2.0195494,5.1845303,2.1514747,7.751168
0.4933634,2.410406,6.2504907,5.7288904,2.5045176,2.703822,6.7183437,4.5978436
6.8767767,8.5158615,4.515949,3.8873565,2.2015495,5.449097,2.072817,7.7326226
2.2151804,1.7531565,4.1427636,5.1254187,2.8571408,1.1782496,9.426306,2.9164395
13.632305,3.3223972,6.61635,1.3561656,5.8867416,5.5315824,2.0780566,7.3919826
2.1981375,1.444221,3.8202999,5.093428,3.3793967,1.8382716,9.610691,3.0834334
2.209948,1.7618493,4.186599,5.0805936,2.83896,1.0886744,9.483736,2.8486164
13.074434,4.257867,7.516989,1.8479234,4.9441724,6.4731703,0.94692105,7.7788715
5.721413,8.135897,4.3611383,4.2859645,1.894149,4.829163,2.3331175,7.5758214
13.048102,4.2508063,7.554001,1.7642635,4.978786,6.7581415,0.9756084,7.89122
4.8518443,7.5628343,4.4880633,4.8808627,1.2297654,4.423216,2.8255715,7.172213
13.476068,2.4472091,6.7213497,1.4341013,6.1157813,5.4551034,2.830641,7.0978484
6.2121468,8.288269,4.4046326,4.1086016,2.009367,5.0863986,2.21717,7.6864386
5.0293345,7.671433,4.4047756,4.798718,1.3113843,4.4673133,2.7417736,7.1766996
13.6520605,2.498105,6.878389,1.1784708,6.265963,5.788228,2.8372107,7.077653
9.099313,9.70418,4.5527005,3.4323783,2.5992794,6.390706,2.3079615,7.459713
2.2674973,1.7057714,4.1199775,5.0121675,2.8675473,1.0525116,9.5749855,2.7865458
13.468249,3.7879648,7.162437,1.1553521,5.6688895,7.2410765,1.4405054,8.17296
4.8051686,7.489841,4.6542354,4.8507586,1.3293512,4.454946,2.8659875,7.371173
0.45069957,2.6421885,6.48478,5.8817124,2.568762,2.8905323,6.1383677,5.1704454
9.5089035,9.224781,5.1609163,2.9556358,2.5946846,6.3078885,2.1936834,7.508476
0.44299054,2.6429367,6.4902143,5.9009485,2.5981321,2.879151,6.1239834,5.213792
0.5199014,2.6563885,6.578151,5.85947,2.686058,2.796957,5.9473414,5.3328867
2.3234248,1.3756993,3.6630208,4.8571396,3.4895062,1.9816595,9.819572,2.941178
13.566353,3.7926722,7.0656743,1.0064052,5.7584524,6.997777,1.4986291,8.204922
0.38508806,2.142023,6.256281,5.31978,2.3099973,2.5845628,6.972921,3.9984012
0.44909272,2.122391,6.119674,5.4220214,2.298005,2.6667643,6.9127746,4.0745077
0.41480953,2.604664,6.4959903,5.98395,2.4521065,2.9569502,6.177939,5.061026
6.100265,8.339627,4.416203,4.1902046,1.9874469,5.039468,2.226604,7.697227
13.094849,4.3118124,7.460711,2.0810812,4.846755,5.8283734,0.90290254,7.5472865
2.5601215,1.2598083,3.6853077,4.4304204,3.4215736,1.3606725,10.229696,2.49233
0.3161995,1.9810448,6.1929693,5.2793837,2.1577523,2.5950696,7.006114,3.98565
2.6192963,1.2367305,3.5132427,4.3721128,3.6848056,2.1224892,10.256816,2.5854266
13.471036,2.3222744,6.686957,1.5367568,6.1813416,5.3690734,2.957375,7.0474873
2.230205,1.8451641,4.260116,5.0905623,2.7446923,1.091055,9.374765,2.8746443
0.4461004,2.7582736,6.554354,5.8710246,2.6951225,2.8851242,5.925435,5.439033
2.4609547,1.2808923,3.5289624,4.6172986,3.6381748,2.2000778,10.0550785,2.7825398
2.209018,1.5652928,3.9287214,5.1271834,3.1541088,1.5143794,9.518686,2.99232
6.392689,8.50684,4.391825,4.1009274,1.9311324,5.2694287,2.118887,7.877672
6.3807364,8.315193,4.497288,4.0618277,2.1313784,5.179917,2.1835082,7.627887
2.565759,1.1555805,3.4694521,4.2198358,3.78701,2.2350163,10.395023,2.6580522
9.491076,9.126066,5.214292,2.868694,2.5244489,6.3892803,2.0550463,7.65171
4.901655,7.5218377,4.423905,4.9329486,1.1944944,4.3709216,2.8698199,7.1063485
2.3511062,1.3472142,3.69229,4.830216,3.4768984,1.8390628,9.858981,2.8834496
13.054584,4.289396,7.398291,1.914272,4.895917,5.865178,0.956053,7.4057446
0.29160786,2.028641,6.262266,5.2713323,2.2122931,2.6278489,7.007199,4.015285
9.444279,9.523647,4.8720236,3.149799,2.6432953,6.393207,2.3119273,7.4458632
2.4198928,1.2676393,3.517249,4.6594105,3.6632307,2.2499688,10.03407,2.8452044
0.41414,2.4552994,6.505748,5.843334,2.433753,2.7874537,6.273408,4.937657
2.615521,1.1649184,3.571266,4.26228,3.6716204,1.8620595,10.352631,2.5511854
2.212549,1.3932205,3.79704,4.9524856,3.4857254,2.0269766,9.629335,3.0759857
13.807397,3.5127454,6.613137,1.0223063,5.970385,5.8308697,1.9807163,7.742091
0.48529136,2.6434093,6.514458,5.8751187,2.7847054,2.7637956,6.010334,5.423268
4.868918,7.5521803,4.382013,4.933147,1.1599663,4.384298,2.8490152,7.035052
0.46203673,2.5274825,6.5564413,5.93457,2.3481448,2.8889673,6.2337933,4.975199
0.29079017,1.9999745,6.2556148,5.359072,2.1730711,2.7077422,6.886028,4.0930634
