ID,HomeWinLossRatio,HomeAverage,HomeRPO,AwayAverage,AwayRPO,NeutralAverage,NeutralRPO,WonTossBattedWinLossRatio,WonTossBattedAverage,WonTossBattedRPO,WonTossFieldedWinLossRatio,WonTossFieldedAverage,WonTossFieldedRPO,LostTossSentInWinLossRatio,LostTossSentInAverage,LostTossSentInRPO,LostTossFieldedWinLossRatio,LostTossFieldedAverage,LostTossFieldedRPO,FirstInningsWinLossRatio,FirstInningsAverage,FirstInningsRPO,SecondInningsAverage,SecondInningsRPO,DayMatchAverage,DayMatchRPO,DayNightMatchAverage,DayNightMatchRPO,NightMatchAverage,NightMatchRPO
56293,1.125,26.17,8.41,23.64,8.14,24.61,7.89,1.307,25.78,8.17,0.6,23.27,8.34,1.666,27.56,8.83,0.764,23.02,7.76,1.454,26.58,8.47,23.14,8.02,20.83,7.44,24.97,8.39,26.08,8.44
56319,1,25,10,22.8,9.67,0,0,0,17.2,8.6,0,16.6,9.76,0,38,11.4,0,35.2,9.6,1,25,10,22.8,9.67,0,0,0,0,0,0
56336,1.075,25.03,8.45,25.06,8.27,23.76,7.82,1,26.22,8.36,0.84,23.91,8.42,1.19,24.61,8.35,1,25.53,8.21,1.097,25.34,8.36,24.65,8.32,26.1,7.89,24.37,8.07,25.1,8.49
56362,0,16.62,6.65,19.26,7.31,0,0,0,12.2,6.1,0,24,7.2,0,23.71,8.3,0,15.37,6.3,1,16.94,7.2,19.07,6.75,13.61,6.2,0,0,23.84,7.75
56370,1.384,26.05,8.42,24.71,8.18,0,0,0.285,23.4,7.96,1.2,22.42,8.24,0.833,26.38,8.43,3.5,35.92,8.43,0.631,25.52,8.3,25.19,8.3,27.23,9.29,23.85,8.24,25.38,8.23
56383,0.666,21.15,8.13,23.76,8.2,0,0,1,21.4,7.98,1,21.56,8.27,1,24.86,8.44,1,20.11,7.5,1,23.7,8.3,21.11,8.02,27.41,8.32,22.53,7.81,21.97,8.33
56386,1,33.75,8.49,23.04,7.94,0,0,0,32.7,8.17,1,17.71,7.4,1,26.46,8.6,0,41.5,8.62,0.333,29.17,8.38,26.36,8.05,0,0,39.55,9.01,24.86,7.95
56402,0.714,23.1,7.81,22.15,7.42,17.91,6.61,0.666,25.06,7.39,1.666,18.84,7.27,0.6,18.77,7.29,1.5,20.8,7.12,0.636,21.84,7.35,19.94,7.18,29.04,8.38,24.83,7.68,18.14,6.85
56407,1.931,27.03,8.49,23.89,8.2,23.17,7.7,1.181,25.14,8.26,1.045,24.66,8.34,0.956,26.04,8.44,0.846,24.84,8.12,1.066,25.57,8.35,24.76,8.23,25.18,8.38,23.03,7.88,26.55,8.5
56441,1.357,27.25,8.11,22.65,7.75,20.29,7.7,0.952,22.55,7.8,1.384,26.1,7.96,0.722,24.86,8.04,1.05,24.31,7.8,0.807,23.92,7.94,25.38,7.9,23.2,8.07,23.47,7.83,25.28,7.93
56450,0.769,24.03,7.94,25.66,8.04,0,0,0.866,27.52,8.22,1.411,22.27,7.74,0.708,24.35,7.9,1.153,26.94,8.25,0.769,25.57,8.03,24.07,7.95,25.05,7.77,26.99,8.23,24.27,7.94
56490,1.789,27.49,8.16,21.89,7.81,0,0,1.187,26.52,8.11,1,22.2,7.92,1,25.82,8.25,0.842,22.81,7.73,1.12,26.28,8.16,22.6,7.8,24.38,8.17,24.75,8.05,23.64,7.76
56539,2,24.85,9.28,21.63,10.29,0,0,1,23.52,10.66,0,16.7,8.86,0,30.54,10.18,1,20.53,9.19,2,26.28,10.43,19,9.07,22.63,9.68,0,0,24.5,11.3
56544,1.703,25.3,8.22,23.17,7.9,21.46,7.69,1.461,24.47,8.12,1.136,24.84,8.11,0.88,25.77,8.22,0.684,20.1,7.53,1.078,25.22,8.18,22.66,7.86,21.63,8.21,26.55,8.22,23.58,7.97
56658,0.933,24.85,8.2,25.2,8.17,21.16,7.58,0.689,23.96,8.08,0.723,22.44,7.89,1.382,25.58,8.35,1.45,27.58,8.16,1.063,24.96,8.25,24.2,7.99,24.68,8.25,23.02,7.53,25.05,8.22
56667,0.2,16.35,6.81,22,8.14,27.43,8.34,1.333,25.52,7.8,0.5,19.42,9.22,2,22.14,10,0.75,19.71,7.18,1.5,24.75,8.16,19.65,7.51,21.3,7.71,0,0,29.58,8.87
56689,1,23.36,7.93,24.57,8.08,26.23,7.97,0.5,20.16,7.46,1.2,23.4,8.06,0.833,25.28,8.12,2,27.11,7.92,0.75,24.06,7.98,24.1,8.03,22.6,7.74,24.77,7.59,26.04,8.52
56691,0.857,23.26,7.86,25.42,7.63,0,0,1.5,27.22,8.03,0,12.85,6.15,0,28.94,8.22,0.666,25.38,7.79,2.25,27.6,8.07,21.35,7.41,23.49,7.72,26.23,7.79,0,0
56747,0.5,20.44,7.57,32.41,8.05,0,0,0,15.32,6.71,0.333,20.48,8.14,3,41,8.71,0,41.16,6.76,1,25.71,7.88,23.83,7.7,0,0,0,0,0,0
56772,0,14.4,7.38,41.8,10.45,0,0,0,41.8,10.45,0,0,0,0,0,0,0,14.4,7.38,0,41.8,10.45,14.4,7.38,0,0,0,0,0,0
56777,2.285,26.77,8.41,21.77,8.02,0,0,1.166,22.62,8.3,1,20.8,7.95,1,27.52,8.42,0.857,26.15,8.16,1.09,24.59,8.35,23.51,8.07,23.45,8.11,41.7,10.42,0,0
56788,1.181,24.11,8.38,21.91,8.11,16.86,7.96,1.482,23.57,8.38,0.848,21.47,8.1,1.178,24.33,8.37,0.674,22.04,8.11,1.282,24.05,8.37,21.68,8.1,22.45,8.1,23.11,8.37,23.9,8.52
56798,0,30.93,8.91,22.25,8.9,0,0,0,0,0,0,36.2,9.56,0,22.22,8.47,0,0,0,0,22.22,8.47,36.2,9.56,29,8.8,23.86,9.06,0,0
56825,0.949,24.7,8.31,23.31,8.27,0,0,0.606,22.33,7.96,0.631,21.65,8.32,1.583,26.09,8.68,1.65,26.63,8.1,1.017,24.34,8.36,23.58,8.22,25.91,8.6,21.44,7.85,25.39,8.52
56831,0.98,23.52,8.12,24.73,8.18,24.03,9.14,0.666,23.94,7.95,1.72,25.74,8.34,0.581,22.89,8.19,1.5,24.11,8.05,0.609,23.24,8.1,25.17,8.24,23.75,7.98,22.59,8.64,27.98,8.65
56869,0.88,25.08,8.34,25.39,8.5,0,0,1.333,27.47,8.56,0.551,23.19,8.32,1.812,27.01,8.67,0.75,23.29,8.1,1.54,27.25,8.61,23.24,8.21,25.64,8.22,24.5,8.57,25.34,8.54
56874,0.901,23.56,8.02,23.8,8.07,0,0,0.896,24.1,7.99,1.285,25.09,8.22,0.777,22.32,8.04,1.115,23.7,7.86,0.824,23,8.02,24.51,8.07,24.11,7.97,23.87,8.06,23.07,8.1
56887,1.207,24.87,8.75,24.94,8.55,0,0,0.56,23.44,8.33,0.95,24.66,8.75,1.052,26.41,8.91,1.785,23.88,8.24,0.857,25.36,8.71,24.4,8.58,26,8.57,23.29,8.47,26.25,8.95
56891,1.285,26.91,8.42,19.72,7.9,0,0,0,15.46,6.7,0.75,22.71,8.05,1.333,23.3,8.49,0,31.25,7.77,1,21.91,8.22,23.36,8.02,22.92,8.07,20.2,8.68,20.75,8.3
56901,0.904,24.55,7.96,23.01,7.8,0,0,1,25.07,8.06,0.842,20.92,7.6,1.187,24.52,7.92,1,25.6,8.01,1.105,24.74,7.98,22.71,7.77,23.42,7.83,20.63,7.81,26.46,8.02
56905,1,24.72,8.09,21.99,7.91,0,0,0.75,24.23,8.13,1.25,21.01,7.65,0.8,20.91,7.9,1.333,29.5,8.4,0.777,22.26,8,24.52,8,0,0,0,0,0,0
56953,0.614,23.3,7.85,26.26,8.14,0,0,0.636,22.49,7.74,1.545,26.23,8.2,0.647,25.39,8.17,1.571,23.78,7.65,0.642,24.27,8.01,25.26,7.99,23.88,7.75,25.43,7.93,24.79,8.22
57078,1,22.75,9.97,42,10.5,0,0,0,37.83,11.35,0,13.7,8.3,0,28.28,9.9,0,74,11.1,0,32.69,10.62,27.61,9.83,0,0,0,0,0,0
57092,1.275,27.22,8.83,23.5,8.48,0,0,1.343,27.19,8.84,0.727,23.95,8.54,1.375,25.9,8.91,0.744,23.77,8.33,1.357,26.61,8.87,23.85,8.42,23.99,8.27,29.21,9.63,26.25,9.02
57100,0.8,23.44,8.03,24.62,8.2,15.88,7.39,0.687,21.5,7.77,0.666,23.42,8.15,1.5,25.16,8.44,1.454,25.44,7.93,1.051,23.5,8.15,24.25,8.05,23.54,7.88,23.7,8.5,24.95,8.53
57112,0.5,19.66,7.22,22.21,7.03,0,0,0,29.2,7.3,0,31.11,7.5,0,16.93,6.77,0,13.8,6.95,0.5,19.85,6.95,22,7.31,0,0,0,0,0,0
57127,1.358,24.97,8.5,23.24,8.17,20.82,8.1,0.948,24.47,8.27,1.282,24.82,8.39,0.78,22.67,8.35,1.054,24.17,8.25,0.853,23.45,8.32,24.51,8.33,23.07,8.31,24.27,8.15,24.75,8.49
57129,0.5,22.21,8.07,24.68,8.45,23.07,7.52,1.611,25.96,8.29,0.558,22.2,8.11,1.789,25.59,8.67,0.62,20.06,7.69,1.702,25.76,8.49,21.13,7.9,24.42,8.16,23.8,8.02,22.5,8.35
57160,2.35,27.31,8.39,20.47,7.68,0,0,1.243,23.41,7.92,1.04,23.7,8.3,0.961,24.14,8.36,0.804,23.1,7.78,1.126,23.69,8.09,23.32,7.96,23.15,7.79,23.55,8.23,24.17,8.34
57182,1,23.18,7.99,24.95,7.57,0,0,0.5,19.78,7.58,0,42.75,9.32,0,24.28,8.5,2,25.26,7.21,0.333,20.83,7.81,28.94,7.76,0,0,0,0,0,0
57207,0.896,25.71,8.21,24.61,8.33,0,0,1.521,27.91,8.41,0.733,22.66,8.14,1.363,25.72,8.41,0.657,24.15,8.1,1.444,26.86,8.41,23.46,8.12,22.75,7.78,26.18,8.65,27.67,8.53
57219,1.616,26.26,8.7,23.11,8.23,24.02,7.67,1.135,24.97,8.26,0.812,23.26,8.59,1.23,25.86,8.73,0.88,24.15,8.04,1.184,25.44,8.51,23.68,8.32,24.78,8.25,24.04,8.6,24.59,8.63
57290,1,21.14,7.49,23.29,7.35,0,0,0,0,0,0,22.84,7.55,0,21.94,7.31,0,0,0,0,21.94,7.31,22.84,7.55,0,0,0,0,0,0
57312,1.525,25.88,8.11,22.4,7.91,0,0,1.457,24.52,8.02,0.852,25.64,8.1,1.172,25.36,8.34,0.686,21.52,7.66,1.328,24.88,8.16,23.1,7.85,22.95,7.88,24.3,7.93,24.72,8.15
57319,0,29,7.56,15.28,6.51,0,0,1,19.95,7.37,1,21,6.23,1,12.86,6.03,1,27.53,7.64,1,17.08,6.9,25.08,7.13,0,0,0,0,0,0
57351,1.673,29.68,9.28,24.09,8.69,0,0,0.576,25.62,8.49,0.64,25.39,8.96,1.562,26.8,9.33,1.733,30.92,8.83,1.12,26.41,9.05,27.02,8.92,27.24,8.86,25.27,9.28,26.04,9.21
57367,0.5,31.89,8.83,31.43,9.27,0,0,1,26.07,8.8,1,28,9.08,1,40.16,9.64,1,38.83,9.11,1,28.63,9,35.5,9.1,0,0,0,0,0,0
57378,0.7,24.82,8.15,28.58,8.55,0,0,0.6,24.06,8.55,2,24.91,7.94,0.5,26.14,7.98,1.666,33.07,8.92,0.545,25.02,8.27,28.7,8.44,27.29,8.41,17.4,7.28,0,0
57424,0.946,26.36,8.43,26.6,8.41,0,0,0.954,23.81,8.08,1.444,28.35,8.64,0.692,26.74,8.62,1.047,26.32,8.09,0.786,25.56,8.41,27.55,8.43,27.04,8.4,23.78,8.5,0,0
57545,0.5,24.64,8.04,26.43,8.64,0,0,0.2,16.87,7.03,1.25,26.14,9.1,0.8,29.71,8.75,5,31.42,7.88,0.5,23.61,8.08,27.86,8.61,25.89,8.31,21.37,8.55,0,0
57851,1.461,29.93,8.47,22.49,8.05,28.41,9.21,1.5,24.78,8.21,1,27.41,8.46,1,26.96,8.54,0.666,22.78,7.6,1.166,26.11,8.41,25.56,8.13,22.46,7.5,25.98,8.32,26.53,8.42
57897,1.145,28.43,8.89,27.08,8.59,21.69,7.14,0.818,30.09,8.59,1.304,27.19,8.58,0.766,27.58,8.77,1.222,24.56,8.3,0.774,27.94,8.74,26.73,8.53,20.23,8.4,27.35,8.27,27.79,8.82
57930,0.666,16.58,7.23,18.72,6.9,0,0,0,106,5.57,0,13.97,6.5,0,21.9,8.21,0,53.5,6.05,4,19.07,7.7,16,6.42,0,0,0,0,0,0
57980,1.428,26.66,8.25,24.16,8.06,21.56,7.69,0.937,24,7.81,1.261,27.35,8.39,0.792,25.05,8.44,1.066,23.9,7.63,0.847,24.64,8.19,25.96,8.09,21.66,7.61,26.09,8.12,26.75,8.4
57986,1.5,24.26,7.74,22.07,7.35,0,0,1.333,26.02,8.19,2,42.22,7.4,0.5,13.64,6.38,0.75,22.4,7.46,1,21.2,7.65,25.77,7.44,0,0,0,0,0,0
57991,1.23,27.96,8.37,27.05,8.32,23.5,7.72,0.736,27.53,8.34,1.757,28.63,8.36,0.568,25.29,8.29,1.357,29.04,8.17,0.61,25.88,8.3,28.75,8.3,23.49,7.85,27.62,8.36,28.82,8.47
57993,0.75,23.64,7.25,26.87,7.59,0,0,0.272,20.76,6.92,2.5,25.83,7.45,0.4,22,7.71,3.666,35.17,7.84,0.312,21.13,7.15,31.71,7.72,0,0,0,0,0,0
58008,1.454,27.44,7.95,22.93,7.74,22.27,7.04,1.121,26.59,7.88,0.739,24.46,7.84,1.352,25.09,8.17,0.891,23.51,7.56,1.2,26.02,7.98,23.86,7.66,20.05,7,29.45,8.24,24.7,7.85
58027,1.2,24.38,7.96,20.6,7.3,0,0,1.8,28.9,8.57,1,19.93,6.93,1,22.14,7.82,0.555,22.31,7.67,1.2,24.09,8.06,20.69,7.17,21.57,7.56,30,8.38,24,7.65
58040,1.041,26.06,8.19,24.64,7.97,20.11,6.58,0.939,22.35,7.58,1.268,26.9,8.38,0.788,26.5,8.34,1.064,23.12,7.31,0.847,24.75,8.04,25.34,7.94,21.93,7.37,25.36,7.77,27.18,8.52
58056,1,25.28,8.2,24.62,7.87,19.27,7.74,2,26.94,8.08,1.083,21.67,7.87,0.923,27.2,8.23,0.5,18.93,7.33,1.066,27.15,8.2,21.08,7.76,18.64,6.71,21.21,7.79,33,9.29
58142,1.016,26.41,8.24,25.46,8.12,25.24,7.99,0.615,25,7.91,0.972,23.72,8.2,1.027,27.07,8.52,1.625,28.25,7.94,0.813,26.1,8.24,25.61,8.08,23.15,7.82,27.22,8.36,26.1,8.17
58150,1.744,25.41,8.17,21.99,7.74,0,0,0.531,21.01,7.37,1.653,24.82,8.26,0.604,22.62,8.03,1.882,27.01,8.03,0.573,21.96,7.76,25.66,8.17,22.75,7.76,23.57,7.92,28.52,9
58162,1.818,25.92,7.75,22.72,7.54,36,9.45,0.548,23.75,7.73,1.333,23.29,7.57,0.75,23.95,7.55,1.823,28.18,8.02,0.666,23.87,7.62,24.99,7.74,20.43,7.07,25.35,7.83,27.93,8.1
58204,0.666,26.46,8.75,27.55,8.32,0,0,0,0,0,0,38.14,9.17,0,20.84,7.97,0,0,0,0,20.84,7.97,38.14,9.17,0,0,27.59,8.02,26.64,8.88
58230,0.933,19.21,6.61,19.23,6.7,0,0,0.8,18.74,6.98,1.857,20.37,6.51,0.538,18.92,6.68,1.25,18.3,6.59,0.611,18.86,6.77,19.65,6.53,18.68,6.52,19.68,7.24,24,7.39
58317,1.388,24.88,8.3,25.23,8.42,0,0,1,24.94,8.07,1.083,25.67,8.68,0.923,25.31,8.54,1,23.91,7.95,0.954,25.16,8.35,24.94,8.37,20.05,7.61,27.35,8.41,27.22,8.78
58324,1.25,27.2,8.32,25.62,8.23,32.56,10.22,0.758,25.2,7.95,1.38,27.14,8.43,0.724,26.58,8.41,1.318,25.67,7.97,0.732,26.23,8.29,26.77,8.32,25.07,7.86,26.47,8.26,27.22,8.55
58461,3,27.53,7.85,20.25,7.14,0,0,1.25,24.14,7.15,0.833,24.08,7.65,1.2,23.12,7.85,0.8,22.07,7.17,1.222,23.56,7.53,23.17,7.43,22.31,7.3,28.47,8.27,32.63,8.97
58516,1.142,22.42,7.46,21.61,7.47,0,0,1.666,19.59,6.98,1.75,23.74,7.69,0.571,22.55,7.6,0.6,18.77,6.96,0.764,21.75,7.44,22.28,7.5,0,0,0,0,0,0
58547,0.755,21.23,7.74,24.24,8.08,0,0,0.812,22.87,7.69,1,21.82,7.9,1,23.7,8.23,1.23,22.03,7.59,0.926,23.39,8.02,21.89,7.79,22.43,7.81,23.74,8.65,22.81,7.82
58585,0.25,15.11,6.66,18.23,7.03,0,0,0,21.46,6.97,0,12.44,6.15,0,20.95,7.72,0,14.27,6.42,0,21.14,7.42,13.14,6.26,0,0,0,0,0,0
58588,0.769,17.58,7,20.05,7.47,16.7,5.76,0.5,16.42,6.74,1.25,17.57,6.81,0.8,18.81,6.88,2,20.25,6.64,0.65,17.69,6.82,18.77,6.73,18.1,6.75,20.46,7.67,0,0
58607,0.363,21.46,8.22,28.4,8.99,21.92,7.46,0.142,24.14,8.4,0.8,20.15,7.46,1.25,22.43,8.05,7,35.21,9.24,0.733,22.95,8.16,23.99,8.04,0,0,0,0,0,0
58650,0.615,19.57,7.4,22.12,7.74,18.24,6.78,2,24.52,7.35,1,22.24,7.63,1,20.06,7.62,0.5,14.81,6.67,1.181,20.95,7.56,19.98,7.39,21.5,7.42,17.73,7.68,0,0
