ID,HomeWinLossRatio,HomeAverage,HomeRPO,AwayAverage,AwayRPO,NeutralAverage,NeutralRPO,WonTossBattedWinLossRatio,WonTossBattedAverage,WonTossBattedRPO,WonTossFieldedWinLossRatio,WonTossFieldedAverage,WonTossFieldedRPO,LostTossSentInWinLossRatio,LostTossSentInAverage,LostTossSentInRPO,LostTossFieldedWinLossRatio,LostTossFieldedAverage,LostTossFieldedRPO,FirstInningsWinLossRatio,FirstInningsAverage,FirstInningsRPO,SecondInningsAverage,SecondInningsRPO,DayMatchAverage,DayMatchRPO,DayNightMatchAverage,DayNightMatchRPO,NightMatchAverage,NightMatchRPO
59151,0.9,22.49,7.51,23.91,7.78,0,0,1.571,25.87,7.83,0.666,19.8,7.38,1.5,26.58,8.07,0.636,21.26,7.24,1.533,26.25,7.96,20.45,7.31,0,0,0,0,0,0
59159,1.24,22.94,7.42,21.45,7.28,23.58,7.46,0.894,24.16,7.53,0.9,19.36,7.08,1.111,21.8,7.37,1.117,23.24,7.37,0.984,23.06,7.46,21.42,7.24,23.21,7.29,21.61,7.49,19.97,7.09
59168,1,23.9,7.91,27.33,8.15,0,0,0,19.35,7.06,0.5,24,7.81,2,23.96,8.08,0,273,10.3,1,23,7.88,29.65,8.23,26.25,8.11,0,0,21.35,7.47
59172,1.189,23.55,7.86,23.31,7.6,0,0,0.75,24.32,7.56,0.766,20.6,7.42,1.304,24.85,8.03,1.333,25.66,7.89,1.076,24.68,7.87,22.1,7.57,23.99,7.83,23.61,7.44,21.61,7.6
59177,1,22,6.23,20.82,6.59,0,0,0,0,0,0.5,18.23,6.43,2,25.53,6.38,0,0,0,2,25.53,6.38,18.23,6.43,0,0,0,0,0,0
59233,0.937,23.01,7.44,20.36,7.26,0,0,0.75,19.12,7.18,1.125,24.97,7.56,0.888,21.63,7.38,1.333,21.7,7.3,0.823,20.34,7.28,23.27,7.43,0,0,0,0,0,0
59269,0.636,21.98,8.31,27.37,9.01,21.44,7.49,1.75,31.24,8.66,0.7,19.76,7.95,1.428,24.05,8.37,0.571,21.55,8,1.545,26.52,8.48,20.46,7.97,0,0,0,0,0,0
59289,1.625,19.25,7.91,17.96,7.36,0,0,1.076,18.34,7.73,2,19.58,8.11,0.5,17.88,7.52,0.928,18.98,7.39,0.826,18.18,7.65,19.19,7.64,0,0,0,0,0,0
59292,4.375,22.58,7.96,14.67,6.72,0,0,1.222,18.22,7.56,1.875,21.21,7.69,0.533,16.91,7.17,0.818,15.91,6.81,0.791,17.48,7.34,18.48,7.27,0,0,0,0,0,0
59294,2.409,19.64,6.99,14.42,6.39,0,0,0.74,15.43,6.61,1,16.45,6.49,1,17.44,7.07,1.35,18.29,6.66,0.829,16.09,6.77,17.6,6.6,0,0,0,0,0,0
59296,1.2,18.05,7.35,17.16,7.07,0,0,0.88,18.07,7.33,1.08,17.37,7,0.925,17.23,7.3,1.136,17.87,7.2,0.903,17.62,7.32,17.6,7.09,0,0,0,0,0,0
59298,3,22.66,8.61,15.38,7.03,0,0,0,14,6.97,0.4,16.58,7.32,2.5,20.09,8.31,0,29.75,8.48,1,18.2,7.95,19.03,7.62,0,0,0,0,0,0
59300,1.517,19.99,7.43,18.78,7.18,0,0,0.761,18.72,7.37,1.25,20.21,7.35,0.8,18.76,7.26,1.312,20.09,7.24,0.78,18.74,7.31,20.15,7.3,0,0,0,0,0,0
59303,1.27,18.89,7.19,17.76,6.95,12.18,5,0.789,16.48,6.78,1.736,20.13,7.14,0.575,17.49,7.14,1.266,18.59,6.88,0.653,17.09,7,19.49,7.03,0,0,0,0,0,0
59306,1.036,21.28,7.7,20.68,7.74,23.62,7.67,1.159,21.4,7.7,1.351,22.54,7.92,0.74,21.08,7.86,0.862,19.86,7.41,0.936,21.25,7.78,21.09,7.65,20.11,7.68,22.68,7.71,21.42,7.76
59308,2.259,20.27,7.58,16.83,6.98,28.68,7.9,0.818,18.29,7.22,1.083,18.73,7.36,0.923,17.97,7.34,1.222,19.87,7.22,0.875,18.12,7.28,19.22,7.29,0,0,0,0,0,0
59320,0,16.72,7.65,22.71,8.55,0,0,0,0,0,1,18.87,8.27,1,19.81,7.92,0,0,0,1,19.81,7.92,18.87,8.27,0,0,0,0,0,0
59337,2.461,23.39,7.73,17.34,6.81,0,0,1.75,21.66,7.28,0.916,21.2,7.3,1.09,20.74,7.29,0.571,16.95,7.2,1.368,21.18,7.28,18.96,7.25,0,0,0,0,0,0
59350,0.666,15.81,6.58,20.1,7.15,0,0,0.666,16.08,6.7,1.5,23.85,7.57,0.666,14.6,6.69,1.5,20.27,6.86,0.666,15.56,6.69,21.22,7.06,0,0,0,0,0,0
59368,1.1,27.97,9,23.76,8.69,0,0,0.75,21.86,8.06,1,28.46,9.18,1,25.48,9.24,1.333,25.48,8.15,0.909,24.26,8.85,27.5,8.85,26.83,8.47,32.22,10.25,24.07,8.52
59392,0.428,20.42,7.65,30.34,8.5,22.87,7.66,0.969,22,7.62,1.605,25.18,7.98,0.622,23.1,7.89,1.031,21.2,7.08,0.744,22.66,7.78,23.54,7.62,20.87,7.26,23.89,7.88,24.04,7.88
59396,1.142,22.54,7.54,23.51,7.58,24.22,7.63,1.055,24.08,7.62,1.313,24.29,7.64,0.761,23.18,7.74,0.947,24.62,7.35,0.864,23.52,7.7,24.41,7.53,23.48,7.29,28.4,8.53,23.56,7.76
59421,0.979,23.67,8.28,24.58,8.22,0,0,0.666,20.23,7.72,1.31,24.69,8.35,0.763,25.52,8.55,1.5,24.05,7.85,0.732,23.8,8.3,24.5,8.19,22.09,7.84,24.75,8.25,26.06,8.65
59429,1.179,23.82,7.69,20.85,7.55,20.6,7.56,1.812,22.45,7.53,1.115,23.83,7.83,0.896,21.46,7.81,0.551,20.2,7.19,1.222,21.89,7.69,22.05,7.53,22.36,7.55,21.53,7.5,21.91,7.76
59458,1.846,26.05,8.09,22.52,7.92,0,0,0.8,22.87,8.26,0.647,20.61,7.58,1.545,26.75,8.22,1.25,31.53,8.36,1.312,25.67,8.23,22.64,7.77,22.84,7.49,0,0,25.7,8.61
59463,0.2,13.9,6.64,18.66,7.07,15.48,6.16,3,22.73,7.38,0.166,13.06,6.09,6,17.37,6.41,0.333,13.4,6.65,4.5,19.18,6.77,13.19,6.3,17.38,6.82,0,0,15.05,6.38
