ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,MaxWind,Tournament,BattingOrder,Role,Country,Batting Hand,Age
940973,6,111.7647059,1,1,CSK,Pune,field,daynight,0,1,0,0.71,8.01,23.29,1.047,8.42,23.82,1.241,8.12,27.46,4.75,8,0,0,2,1.5393,1.7631,1.3382,1.0927,38.4,22.9,22.0,IPL,4,BOWL,India,RHB,25
290630,6,120.275378,2,1,Daredevils,Hyderabad,bat,night,0,33,1,1.016,8.24,25.46,1.625,7.94,25.0,0.813,8.08,25.61,29.30921053,190,1,21,19,3.4309,3.0745,4.2372,4.4279,36.3,25.2,12.4,IPL,2,BAT,India,RHB,29
931581,6,160.910031,1,1,SRH,Hyderabad,bat,night,1,26,0,1.016,8.12,26.41,0.615,7.91,28.25,0.813,8.24,26.1,32.41666667,54,1,10,5,3.0973,3.5563,3.4446,3.2319,36.3,25.2,12.4,IPL,2,WK,Indian,LHB,21
446507,6,134.1935484,1,1,KKR,Wankhede,field,daynight,0,119,1,1.25,8.32,25.62,0.724,8.41,27.14,0.732,8.29,26.23,26.0,90,0,6,6,2.6155,3.5007,3.811,1.0927,29.0,28.3,24.5,IPL,1,BAT,India,RHB,28
554691,6,132.1019108,2,1,RR,Indore,field,night,1,8,1,1.744,8.17,21.99,1.653,8.26,22.62,0.573,8.17,25.66,20.33333333,75,0,0,6,2.6155,2.2221,3.3948,2.9753,40.8,28.4,22.1,IPL,2,ALL,India,LHB,24
34102,6,133.6826568,1,1,KKR,Wankhede,field,daynight,0,19,1,1.25,8.32,25.62,0.724,8.41,27.14,0.732,8.29,26.23,32.00353357,336,6,65,22,4.0142,2.6155,4.2372,4.4835,29.0,28.3,24.5,IPL,2,BAT,India,RHB,31
325012,6,119.8127925,2,0,RR,Indore,field,night,1,43,1,1.744,8.17,21.99,1.653,8.26,22.62,0.573,8.17,25.66,21.94285714,45,0,3,3,2.3917,2.6483,3.4446,1.0927,40.8,28.4,22.1,IPL,3,ALL,Australia,RHB,29
425943,6,123.8033635,1,1,Kings XI,Indore,field,night,0,50,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,27.08490566,118,1,19,8,2.9277,2.6483,3.9578,4.0017,40.8,28.4,22.1,IPL,2,WK,Indian,RHB,24
1070173,6,137.0786517,2,1,MI,Wankhede,field,daynight,1,17,0,1.25,8.23,27.2,1.38,8.43,26.58,0.732,8.32,26.77,40.66666667,6,0,1,0,3.2441,3.5007,1.3382,1.0927,29.0,28.3,24.5,IPL,1,BAT,India,RHB,19
390484,6,128.0,1,0,Kings XI,Indore,field,night,0,10,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,14.93333333,64,0,0,6,2.1893,2.2221,1.3382,1.0927,40.8,28.4,22.1,IPL,4,BOWL,India,RHB,27
