ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,MaxWind,Tournament,BattingOrder,Role,Country,Batting Hand,Age
30288,6,0.0,2,1,UP,Jaipur,field,day,1,35,0,1.818,7.54,25.92,1.333,7.57,23.95,0.666,7.74,24.99,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,34.9,19.5,18.9,Tournament,3,BOWL,India,LHB,20
236779,6,0.0,1,0,Himachal,Delhi,bat,day,1,-2,0,1.041,7.97,26.06,0.939,7.58,23.12,0.847,8.04,24.75,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,34.4,18.9,24.0,Tournament,4,BOWL,India,RHB,19
253802,6,0.0,1,1,Himachal,Delhi,bat,day,1,61,0,1.041,7.97,26.06,0.939,7.58,23.12,0.847,8.04,24.75,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,34.4,18.9,24.0,Tournament,2,BAT,India,RHB,19
28081,6,0.0,2,1,Orissa,Eden Gardens,bat,day,0,-1,0,1.428,8.06,26.66,1.066,7.63,24.0,0.847,8.09,25.96,0.0,2,0,0,2,0.9353,0.9025,1.3382,1.0927,38.3,25.2,18.4,Tournament,2,WK,India,RHB,26
34102,6,0.0,2,0,Baroda,Wankhede,field,day,1,74,0,1.25,8.23,27.2,1.38,8.43,26.58,0.732,8.32,26.77,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,37.8,24.7,19.2,Tournament,2,BAT,India,RHB,20
277916,6,0.0,2,1,Baroda,Wankhede,field,day,1,38,0,1.25,8.23,27.2,1.38,8.43,26.58,0.732,8.32,26.77,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,37.8,24.7,19.2,Tournament,1,BAT,India,RHB,19
290630,6,0.0,1,1,Kerala,Visakhapatnam,bat,day,1,5,0,0.755,8.08,21.23,0.812,7.69,22.03,0.926,8.02,23.39,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,33.3,26.2,25.3,Tournament,2,BAT,India,RHB,18
277916,6,88.0,2,1,Gujarat,Brabourne,bat,day,0,-4,0,1.388,8.42,24.88,1.0,7.95,24.94,0.954,8.37,24.94,22.0,1,0,0,0,2.2407,2.2407,1.3382,1.0927,38.8,24.2,17.1,Tournament,1,BAT,India,RHB,19
28081,6,11.11111111,2,1,Bengal,Eden Gardens,bat,day,0,30,0,1.428,8.06,26.66,1.066,7.63,24.0,0.847,8.09,25.96,0.3333333333,3,0,0,2,0.9353,0.9025,1.3382,1.0927,36.7,25.6,18.4,Tournament,2,WK,India,RHB,26
34102,6,108.1081081,2,0,Gujarat,Brabourne,bat,day,0,233,0,1.388,8.42,24.88,1.0,7.95,24.94,0.954,8.37,24.94,40.0,1,0,0,0,3.2441,3.2441,1.3382,1.0927,38.8,24.2,17.1,Tournament,2,BAT,India,RHB,20
290630,6,50.0,1,1,Andhra,Visakhapatnam,bat,day,1,78,0,0.755,8.08,21.23,0.812,7.69,22.03,0.926,8.02,23.39,5.0,1,0,0,0,1.0863,1.0863,1.4892,1.0927,33.1,25.9,23.5,Tournament,2,BAT,India,RHB,18
253802,6,134.6153846,1,1,J + K,Delhi,bat,day,1,148,0,1.041,7.97,26.06,0.939,7.58,23.12,0.847,8.04,24.75,35.0,1,0,0,0,2.8179,2.8179,3.188,1.0927,36.0,19.9,25.0,Tournament,2,BAT,India,RHB,19
277916,6,84.61538462,1,1,Saurashtra,Wankhede,bat,day,1,3,0,1.25,8.23,27.2,0.758,7.95,25.67,0.732,8.29,26.23,11.0,2,0,0,1,1.8145,1.8145,2.6436,1.0927,39.2,25.3,15.6,Tournament,1,BAT,India,RHB,19
290630,6,141.6666667,2,1,Goa,Visakhapatnam,field,day,1,115,0,0.755,8.08,21.23,1.0,7.9,23.7,0.926,7.79,21.89,25.5,2,0,0,0,2.3917,2.3917,3.0184,1.0927,32.4,25.1,21.5,Tournament,2,BAT,India,RHB,18
34102,6,171.9512195,1,1,Saurashtra,Wankhede,bat,day,1,23,0,1.25,8.23,27.2,0.758,7.95,25.67,0.732,8.29,26.23,141.0,2,1,0,0,3.2441,3.2441,3.6142,1.0927,39.2,25.3,15.6,Tournament,2,BAT,India,RHB,20
28081,6,81.25,2,0,Assam,Eden Gardens,bat,day,0,77,0,1.428,8.06,26.66,1.066,7.63,24.0,0.847,8.09,25.96,3.25,4,0,0,2,1.3883,1.3555,2.1988,1.0927,35.8,25.2,18.1,Tournament,2,WK,India,RHB,26
234675,6,0.0,2,1,Mumbai,Wankhede,bat,day,0,10,0,1.25,8.23,27.2,1.318,7.97,25.2,0.732,8.32,26.77,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,39.2,25.3,15.6,Tournament,2,ALL,India,LHB,19
232292,6,0.0,1,0,Saurashtra,Brabourne,bat,day,1,13,0,1.388,8.42,24.88,1.0,8.07,23.91,0.954,8.35,25.16,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,35.0,24.7,15.4,Tournament,4,ALL,India,RHB,16
253802,6,156.3380282,2,1,Punjab,Delhi,field,day,1,41,0,1.041,7.97,26.06,1.268,8.38,26.5,0.847,7.94,25.34,55.5,2,0,1,0,3.2441,3.2441,3.838,1.0927,37.1,20.6,17.9,Tournament,2,BAT,India,RHB,19
234675,6,75.0,2,1,Baroda,Brabourne,bat,day,0,34,0,1.388,8.42,24.88,1.0,7.95,24.94,0.954,8.37,24.94,6.0,1,0,0,0,1.2373,1.2373,1.3382,1.0927,35.0,24.7,15.4,Tournament,3,ALL,India,LHB,19
34102,6,165.5913978,2,1,Maharashtra,Brabourne,field,day,1,40,0,1.388,8.42,24.88,1.083,8.68,25.31,0.954,8.37,24.94,154.0,3,1,0,0,3.2441,3.2441,3.5486,1.0927,35.0,24.7,15.4,Tournament,2,BAT,India,RHB,20
290630,6,147.5,1,1,Tamil Nadu,Visakhapatnam,field,day,0,1,0,0.755,8.08,21.23,1.0,8.23,21.82,0.926,8.02,23.39,39.33333333,3,0,1,0,2.8179,2.8179,3.6684,1.0927,32.8,25.2,24.7,Tournament,2,BAT,India,RHB,18
30288,6,190.9090909,2,1,Rajasthan,Jaipur,field,day,1,10,0,1.818,7.54,25.92,1.333,7.57,23.95,0.666,7.74,24.99,21.0,1,0,0,0,2.3917,2.3917,2.7946,1.0927,38.2,21.3,12.0,Tournament,3,BOWL,India,LHB,20
277916,6,78.125,2,1,Maharashtra,Brabourne,field,day,1,10,0,1.388,8.42,24.88,1.083,8.68,25.31,0.954,8.37,24.94,8.333333333,3,0,0,1,1.2373,1.2373,1.3382,1.0927,35.0,24.7,15.4,Tournament,1,BAT,India,RHB,19
28081,6,135.1351351,1,0,Tripura,Eden Gardens,field,day,0,149,0,1.428,8.06,26.66,0.792,8.44,27.35,0.847,8.19,24.64,12.5,5,0,0,2,1.9655,2.1893,3.275,1.0927,36.9,25.7,21.3,Tournament,2,WK,India,RHB,26
253802,6,147.2527473,1,1,Haryana,Delhi,bat,day,1,55,0,1.041,7.97,26.06,0.939,7.58,23.12,0.847,8.04,24.75,44.66666667,3,0,1,0,3.2441,3.2441,4.0946,1.0927,35.7,21.4,11.2,Tournament,2,BAT,India,RHB,19
290630,6,145.1219512,2,1,Hyderabad,Visakhapatnam,bat,day,0,2,0,0.755,8.08,21.23,1.23,7.59,22.87,0.926,7.79,21.89,29.75,4,0,1,0,2.3917,2.3917,3.4988,1.0927,31.6,25.2,24.8,Tournament,2,BAT,India,RHB,18
26421,6,0.0,2,1,Kerala,Visakhapatnam,bat,day,0,-4,0,0.755,8.08,21.23,1.23,7.59,22.87,0.926,7.79,21.89,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,31.6,25.2,24.8,Tournament,4,ALL,India,RHB,21
253802,6,137.398374,2,1,Services,Delhi,bat,day,0,18,0,1.041,7.97,26.06,1.064,7.31,22.35,0.847,7.94,25.34,42.25,4,0,1,0,3.2441,3.2441,4.3512,1.0927,36.0,19.9,12.6,Tournament,2,BAT,India,RHB,19
30288,6,120.8333333,1,1,Punjab,Brabourne,field,day,0,2,0,1.388,8.42,24.88,0.923,8.54,25.67,0.954,8.35,25.16,14.5,2,0,0,0,1.9655,1.9655,1.3382,1.0927,33.9,24.3,17.3,Tournament,2,BOWL,India,LHB,20
26421,6,0.0,2,1,Bengal,Ahmedabad,bat,day,0,-1,0,1.461,8.05,29.93,0.666,7.6,24.78,1.166,8.13,25.56,0.0,1,0,0,1,0.9353,0.9353,1.3382,1.0927,40.9,23.5,9.1,Tournament,4,ALL,India,RHB,21
290630,6,133.6956522,1,1,Punjab,Wankhede,bat,daynight,1,8,0,1.25,8.23,27.2,0.758,7.95,25.67,0.732,8.29,26.23,24.6,5,0,1,0,2.3917,2.6483,1.3382,1.0927,34.6,25.3,16.4,Tournament,2,BAT,India,RHB,18
34102,6,165.3846154,2,1,Tamil Nadu,Ahmedabad,field,daynight,1,43,0,1.461,8.05,29.93,1.0,8.46,26.96,1.166,8.13,25.56,86.0,4,1,0,0,3.2441,3.2441,1.3382,1.0927,40.5,26.0,13.4,Tournament,2,BAT,India,RHB,20
34102,6,151.5384615,2,1,Haryana,Ahmedabad,bat,day,0,-4,0,1.461,8.05,29.93,0.666,7.6,24.78,1.166,8.13,25.56,65.66666667,5,1,0,0,3.2441,3.5007,2.6108,1.0927,40.2,26.4,18.1,Tournament,2,BAT,India,RHB,20
277916,6,79.48717949,2,0,Haryana,Ahmedabad,bat,day,0,90,0,1.461,8.05,29.93,0.666,7.6,24.78,1.166,8.13,25.56,7.75,4,0,0,1,1.2373,1.2373,1.3382,1.0927,40.2,26.4,18.1,Tournament,1,BAT,India,RHB,19
34102,6,150.3816794,1,1,M. Pradesh,Ahmedabad,field,day,0,79,0,1.461,8.05,29.93,1.0,8.54,27.41,1.166,8.41,26.11,49.25,6,1,0,1,3.2441,3.0745,2.4412,1.0927,39.3,24.7,12.5,Tournament,2,BAT,India,RHB,20
26421,6,16.66666667,1,0,Haryana,Ahmedabad,bat,daynight,1,15,0,1.461,8.05,29.93,1.5,8.21,22.78,1.166,8.41,26.11,0.5,2,0,0,1,0.9353,0.9353,1.3382,1.0927,39.3,24.7,12.5,Tournament,4,ALL,India,RHB,21
277916,6,98.7804878,1,1,M. Pradesh,Ahmedabad,field,day,0,6,0,1.461,8.05,29.93,1.0,8.54,27.41,1.166,8.41,26.11,20.25,5,0,1,1,2.2407,2.4973,3.5814,1.0927,39.3,24.7,12.5,Tournament,1,BAT,India,RHB,19
26421,6,75.0,1,1,M. Pradesh,Ahmedabad,field,day,0,5,0,1.461,8.05,29.93,1.0,8.54,27.41,1.166,8.41,26.11,3.0,3,0,0,1,1.2373,1.2373,2.1988,1.0927,39.8,25.0,11.8,Tournament,4,ALL,India,RHB,21
277916,6,92.55319149,1,1,Bengal,Ahmedabad,bat,daynight,1,53,0,1.461,8.05,29.93,1.5,8.21,22.78,1.166,8.41,26.11,17.4,6,0,1,1,1.8145,2.0711,3.838,1.0927,39.8,25.0,11.8,Tournament,1,BAT,India,RHB,19
290630,6,127.7227723,1,1,Railways,Brabourne,bat,daynight,1,-4,0,1.388,8.42,24.88,1.0,8.07,23.91,0.954,8.35,25.16,21.5,6,0,1,0,2.3917,2.6483,1.3382,1.0927,33.4,26.8,16.3,Tournament,2,BAT,India,RHB,18
34102,6,151.2820513,1,1,Bengal,Ahmedabad,bat,daynight,1,24,0,1.461,8.05,29.93,1.5,8.21,22.78,1.166,8.41,26.11,47.2,7,1,0,1,3.2441,2.2221,3.275,1.0927,39.8,25.0,11.8,Tournament,2,BAT,India,RHB,20
28081,3,139.0322581,2,0,Australia,Brabourne,bat,night,0,25,1,1.388,8.3,25.23,1.0,7.95,24.94,0.954,8.37,24.94,30.78571429,18,0,1,2,2.8179,2.6483,1.3382,2.9753,34.2,21.7,13.1,Bilateral,2,WK,India,RHB,26
28081,6,139.6825397,2,0,Australia,Brabourne,bat,night,0,25,1,1.388,8.3,25.23,1.0,7.95,24.94,0.954,8.37,24.94,31.42857143,19,0,1,2,2.8179,2.6483,1.9422,3.6581,34.2,21.7,13.1,Bilateral,2,WK,India,RHB,26
253802,6,131.6176471,2,1,KKR,Bengaluru,field,night,1,-1,1,1.145,8.89,27.08,1.304,8.58,27.58,0.774,8.53,26.73,35.8,5,0,1,0,2.8179,3.0745,1.3382,1.0927,33.3,19.6,11.0,IPL,2,BAT,India,RHB,20
28081,6,124.8663102,1,1,Kings XI,Mohali,bat,daynight,1,4,0,1.23,8.32,27.96,0.736,8.34,29.04,0.61,8.3,25.88,29.1875,22,0,1,2,2.3917,1.7691,1.3382,1.0927,36.0,16.0,19.4,IPL,2,WK,India,RHB,27
234675,6,118.1818182,1,1,Daredevils,Delhi,bat,night,1,57,0,1.041,7.97,26.06,0.939,7.58,23.12,0.847,8.04,24.75,13.0,2,0,0,0,1.9655,1.9655,1.3382,1.0927,38.0,21.0,20.5,IPL,3,ALL,India,LHB,20
34102,6,143.2258065,1,1,KKR,Eden Gardens,bat,daynight,1,-4,0,1.428,8.06,26.66,0.937,7.81,23.9,0.847,8.19,24.64,55.5,16,1,2,1,3.2441,3.5007,1.3382,1.0927,38.2,26.4,12.7,IPL,2,BAT,India,RHB,21
253802,6,127.6595745,2,1,MI,Wankhede,bat,night,0,49,0,1.25,8.23,27.2,1.318,7.97,25.2,0.732,8.32,26.77,30.0,6,0,1,0,2.8179,2.6483,1.3382,1.0927,35.1,23.9,17.4,IPL,2,BAT,India,RHB,20
34102,6,141.8530351,1,1,Daredevils,Hyderabad,bat,night,1,136,1,1.016,8.24,25.46,0.615,7.91,28.25,0.813,8.24,26.1,49.33333333,17,1,2,2,3.2441,2.6483,1.3382,1.0927,38.9,25.5,12.3,IPL,2,BAT,India,RHB,21
28081,6,124.403183,1,1,MI,Chennai,field,night,0,66,1,1.454,7.95,22.93,1.352,8.17,24.46,1.2,7.98,26.02,27.58823529,23,0,1,2,2.3917,1.7691,1.3382,1.0927,36.0,25.6,17.1,IPL,2,WK,India,RHB,27
34102,6,146.1318052,1,1,RR,Hyderabad,field,night,0,62,1,1.016,8.24,25.46,1.027,8.52,23.72,0.813,8.24,26.1,51.0,18,1,3,2,3.2441,2.6483,3.5814,1.0927,37.1,24.2,18.6,IPL,2,BAT,India,RHB,21
234675,6,130.0,2,1,Chargers,Hyderabad,field,night,1,-1,0,1.016,8.12,26.41,0.972,8.2,27.07,0.813,8.08,25.61,30.33333333,4,0,0,0,2.8179,2.8179,1.3382,1.0927,37.1,24.2,18.6,IPL,3,ALL,India,LHB,20
236779,6,50.0,1,0,CSK,Chennai,bat,daynight,1,10,0,1.454,7.74,27.44,1.121,7.88,23.51,1.2,7.98,26.02,6.0,3,0,0,0,1.0863,1.0863,1.3382,1.0927,34.0,24.9,13.5,IPL,4,BOWL,India,RHB,20
28081,6,126.9720102,2,0,KKR,Chennai,bat,daynight,0,79,1,1.454,7.95,22.93,0.891,7.56,26.59,1.2,7.66,23.86,27.72222222,24,0,1,2,2.3917,1.9201,3.188,1.0927,34.0,24.9,13.5,IPL,2,WK,India,RHB,27
253802,6,130.9677419,1,1,RR,Bengaluru,field,night,0,23,1,1.145,8.89,27.08,0.766,8.77,27.19,0.774,8.74,27.94,29.0,7,0,1,0,2.3917,2.2221,1.3382,1.0927,33.4,20.5,14.5,IPL,2,BAT,India,RHB,20
277916,6,93.02325581,1,1,Chargers,DY Patil,field,night,0,-4,0,0.645,8.17,24.42,0.944,8.52,25.17,0.961,8.24,25.72,20.0,7,0,1,1,2.2407,2.4973,1.3382,1.0927,33.4,25.4,17.9,IPL,2,BAT,India,RHB,20
28081,6,129.047619,1,1,RCB,Bengaluru,bat,night,1,141,0,1.145,8.59,28.43,0.818,8.59,24.56,0.774,8.74,27.94,30.11111111,25,0,1,2,2.8179,2.4973,1.3382,1.0927,32.9,21.8,18.8,IPL,2,WK,India,RHB,27
253802,6,127.8106509,2,1,CSK,Bengaluru,bat,night,0,30,1,1.145,8.89,27.08,1.222,8.3,30.09,0.774,8.53,26.73,27.0,8,0,1,0,2.3917,2.2221,1.8968,1.0927,32.9,21.8,18.8,IPL,3,BAT,India,RHB,20
236779,6,66.66666667,1,0,MI,Eden Gardens,bat,night,1,-2,1,1.428,8.25,24.16,0.937,7.81,23.9,0.847,8.19,24.64,10.0,4,0,0,0,1.6635,1.6635,1.3382,1.0927,36.0,26.8,18.9,IPL,4,BOWL,India,RHB,20
290630,6,126.4705882,2,1,KKR,Eden Gardens,bat,night,0,-4,0,1.428,8.06,26.66,1.066,7.63,24.0,0.847,8.09,25.96,18.42857143,7,0,1,1,1.9655,2.2221,1.3382,1.0927,36.0,26.8,18.9,IPL,2,BAT,India,RHB,19
277916,6,88.23529412,2,1,KKR,Eden Gardens,bat,night,0,6,0,1.428,8.06,26.66,1.066,7.63,24.0,0.847,8.09,25.96,17.14285714,8,0,1,2,1.8145,2.4973,1.3382,1.0927,36.0,26.8,18.9,IPL,1,BAT,India,RHB,20
253802,6,129.5454545,2,0,Daredevils,Delhi,field,night,1,5,0,1.041,7.97,26.06,1.268,8.38,26.5,0.847,7.94,25.34,25.33333333,9,0,1,0,2.3917,2.2221,4.1816,1.0927,42.3,24.0,14.1,IPL,3,BAT,India,RHB,20
34102,6,144.0633245,1,0,Kings XI,Hyderabad,field,night,0,162,1,1.016,8.24,25.46,1.027,8.52,23.72,0.813,8.24,26.1,49.63636364,19,1,3,2,3.2441,2.6483,3.838,1.0927,40.3,26.5,15.1,IPL,2,BAT,India,RHB,21
234675,6,126.0273973,1,1,KKR,Jaipur,bat,daynight,1,65,1,1.818,7.75,22.72,0.548,7.73,28.18,0.666,7.62,23.87,23.0,5,0,0,0,2.3917,2.6483,3.188,1.0927,40.9,26.2,18.9,IPL,3,ALL,India,LHB,20
236779,6,66.66666667,2,0,RR,Jaipur,bat,daynight,0,5,0,1.818,7.54,25.92,1.823,8.02,23.75,0.666,7.74,24.99,10.0,5,0,0,0,1.6635,1.9201,1.3382,1.0927,40.9,26.2,18.9,IPL,4,BOWL,India,RHB,20
28081,6,134.8888889,1,1,Daredevils,Chennai,bat,night,1,54,1,1.454,7.95,22.93,1.121,7.88,23.51,1.2,7.98,26.02,31.94736842,26,0,2,2,2.8179,3.0745,3.8708,1.0927,38.9,29.1,23.1,IPL,2,WK,India,RHB,27
34102,6,147.7434679,2,1,RCB,Bengaluru,field,daynight,1,113,0,1.145,8.59,28.43,1.304,8.58,27.58,0.774,8.53,26.73,56.54545455,20,1,4,2,3.2441,3.5007,1.3382,1.0927,33.0,21.4,14.3,IPL,2,BAT,India,RHB,21
253802,6,129.3785311,1,1,Chargers,Bengaluru,field,daynight,0,64,1,1.145,8.89,27.08,0.766,8.77,27.19,0.774,8.74,27.94,25.44444444,10,0,1,0,2.3917,2.2221,2.4554,1.0927,33.0,21.4,14.3,IPL,2,BAT,India,RHB,20
28081,6,133.9622642,1,1,RR,Jaipur,bat,night,1,-1,0,1.818,7.54,25.92,0.548,7.73,28.18,0.666,7.62,23.87,31.95,27,0,2,2,2.8179,3.5007,1.3382,1.0927,41.3,27.6,20.6,IPL,3,WK,India,RHB,27
253802,6,129.6116505,1,1,Kings XI,Bengaluru,field,night,0,62,1,1.145,8.89,27.08,0.766,8.77,27.19,0.774,8.74,27.94,26.7,11,0,1,0,2.3917,2.6483,3.1054,1.0927,32.3,19.7,15.0,IPL,1,BAT,India,RHB,20
34102,6,146.6522678,2,1,CSK,Chennai,field,night,1,43,0,1.454,7.74,27.44,0.739,7.84,25.09,1.2,7.66,23.86,56.58333333,21,1,5,2,3.2441,3.5563,1.3382,1.0927,38.5,27.8,22.3,IPL,2,BAT,India,RHB,21
28081,6,132.231405,1,1,Chargers,Chennai,field,night,0,35,1,1.454,7.95,22.93,1.352,8.17,24.46,1.2,7.98,26.02,30.47619048,28,0,2,2,2.8179,3.5007,4.1274,1.0927,38.5,27.8,22.3,IPL,3,WK,India,RHB,27
234675,6,135.8695652,1,1,MI,DY Patil,field,night,0,-4,0,0.645,8.17,24.42,0.944,8.52,25.17,0.961,8.24,25.72,25.0,6,0,0,0,2.3917,2.6483,1.3382,1.0927,32.8,25.8,20.3,IPL,3,ALL,India,LHB,20
28081,6,128.7378641,2,1,Daredevils,Delhi,field,daynight,1,53,0,1.041,7.97,26.06,1.268,8.38,26.5,0.847,7.94,25.34,30.13636364,29,0,2,2,2.8179,3.5007,1.3382,2.9753,39.5,24.7,16.0,IPL,2,WK,India,RHB,27
34102,6,146.25,1,1,RR,Jaipur,field,night,0,7,0,1.818,7.54,25.92,0.75,7.55,23.29,0.666,7.62,23.87,54.0,22,1,5,2,3.2441,3.5563,1.3382,2.9753,37.1,23.4,21.2,IPL,2,BAT,India,RHB,21
28081,6,127.0072993,1,0,Kings XI,Chennai,field,night,0,110,1,1.454,7.95,22.93,1.352,8.17,24.46,1.2,7.98,26.02,30.26086957,30,0,2,2,2.8179,3.0745,4.384,1.3947,38.7,28.3,19.8,IPL,2,WK,India,RHB,27
34102,6,144.8770492,2,1,KKR,Hyderabad,bat,daynight,0,67,1,1.016,8.24,25.46,1.625,7.94,25.0,0.813,8.08,25.61,50.5,23,1,5,2,3.2441,3.5007,4.1502,1.0927,38.4,27.3,20.0,IPL,2,BAT,India,RHB,21
234675,6,134.4086022,2,1,Daredevils,Jaipur,field,night,1,14,1,1.818,7.75,22.72,1.333,7.57,23.95,0.666,7.74,24.99,20.83333333,7,0,0,1,2.3917,2.6483,3.8708,2.5491,38.5,24.3,15.9,IPL,2,ALL,India,LHB,20
253802,6,124.3801653,1,1,Kings XI,Mohali,bat,night,1,41,0,1.23,8.32,27.96,0.736,8.34,29.04,0.61,8.3,25.88,27.36363636,12,0,1,0,2.3917,2.6483,1.3382,2.8243,36.9,22.0,12.8,IPL,1,BAT,India,RHB,20
28081,6,127.9187817,1,0,MI,Wankhede,field,night,0,81,0,1.25,8.23,27.2,0.724,8.41,27.14,0.732,8.29,26.23,32.86956522,31,0,3,2,2.8179,3.0745,1.3382,2.9753,33.0,27.4,19.1,IPL,3,WK,India,RHB,27
34102,6,144.53125,2,1,Daredevils,Delhi,field,night,1,73,0,1.041,7.97,26.06,1.268,8.38,26.5,0.847,7.94,25.34,49.33333333,24,1,5,2,3.2441,3.5007,1.3382,3.4015,39.2,26.5,17.4,IPL,2,BAT,India,RHB,21
236779,6,68.75,1,1,MI,Wankhede,field,night,0,12,0,1.25,8.23,27.2,0.724,8.41,27.14,0.732,8.29,26.23,11.0,6,0,0,0,1.6635,1.9201,1.3382,1.0927,33.4,28.0,16.6,IPL,4,BOWL,India,RHB,20
253802,6,121.969697,2,1,RR,Jaipur,field,daynight,1,1,0,1.818,7.54,25.92,1.333,7.57,23.95,0.666,7.74,24.99,26.83333333,13,0,1,0,2.3917,2.6483,1.3382,1.9719,40.4,28.0,27.0,IPL,1,BAT,India,RHB,20
34102,6,146.2264151,2,1,MI,Hyderabad,field,night,1,12,1,1.016,8.24,25.46,0.972,8.2,27.07,0.813,8.08,25.61,48.4375,25,1,5,2,3.2441,3.0745,4.4068,1.0927,38.5,27.0,23.1,IPL,2,BAT,India,RHB,21
236779,6,71.42857143,1,0,RR,Eden Gardens,field,night,0,12,1,1.428,8.25,24.16,0.792,8.44,27.35,0.847,8.19,24.64,15.0,7,0,0,0,1.6635,2.0711,1.3382,1.6967,36.4,27.7,15.1,IPL,4,BOWL,India,RHB,20
253802,6,119.9261993,1,1,CSK,Chennai,bat,night,1,16,0,1.454,7.74,27.44,1.121,7.88,23.51,1.2,7.98,26.02,25.0,14,0,1,0,2.3917,2.6483,1.3382,2.1229,37.4,28.8,17.1,IPL,2,BAT,India,RHB,20
28081,6,127.6357827,2,1,RCB,Chennai,bat,night,0,4,1,1.454,7.95,22.93,0.891,7.56,26.59,1.2,7.66,23.86,34.73913043,32,0,3,2,2.8179,3.5007,4.6078,3.4015,37.4,28.8,17.1,IPL,2,WK,India,RHB,27
34102,6,144.6296296,1,1,Kings XI,Mohali,field,night,0,108,0,1.23,8.32,27.96,0.568,8.29,28.63,0.61,8.3,25.88,45.94117647,26,1,5,2,3.2441,2.6483,1.3382,3.4015,31.3,23.3,16.5,IPL,2,BAT,India,RHB,21
28081,6,126.6561514,2,1,RR,Chennai,bat,daynight,0,26,1,1.454,7.95,22.93,0.891,7.56,26.59,1.2,7.66,23.86,33.45833333,33,0,3,2,2.8179,3.5007,4.6078,1.0927,36.7,27.8,19.6,IPL,2,WK,India,RHB,27
34102,6,146.5608466,1,1,RCB,Hyderabad,bat,daynight,1,29,1,1.016,8.24,25.46,0.615,7.91,28.25,0.813,8.24,26.1,46.16666667,27,1,6,2,3.2441,2.6483,4.6634,3.4015,37.8,26.6,15.3,IPL,2,BAT,India,RHB,21
253802,6,116.7247387,2,1,Chargers,Hyderabad,bat,daynight,0,27,0,1.016,8.12,26.41,1.625,7.94,25.0,0.813,8.08,25.61,23.92857143,15,0,1,0,2.3917,2.4973,1.3382,2.9753,37.8,26.6,15.3,IPL,3,BAT,India,RHB,20
236779,6,77.27272727,2,0,Kings XI,Eden Gardens,bat,night,0,-2,1,1.428,8.25,24.16,1.066,7.63,24.0,0.847,8.09,25.96,17.0,8,0,0,0,1.6635,2.2221,2.1988,1.0927,33.0,25.6,9.7,IPL,4,BOWL,India,RHB,20
234675,6,132.3232323,2,0,MI,Jaipur,field,night,1,33,1,1.818,7.75,22.72,1.333,7.57,23.95,0.666,7.74,24.99,18.71428571,8,0,0,1,1.9655,2.2221,3.7012,1.0927,37.9,24.4,15.8,IPL,3,ALL,India,LHB,20
290630,6,122.8571429,1,1,RR,Jaipur,field,night,0,3,0,1.818,7.54,25.92,0.75,7.55,23.29,0.666,7.62,23.87,16.125,8,0,1,2,1.9655,1.1591,1.3382,1.0927,37.9,24.4,15.8,IPL,3,BAT,India,RHB,19
28081,6,126.9470405,2,1,Chargers,Hyderabad,bat,night,0,69,0,1.016,8.12,26.41,1.625,7.94,25.0,0.813,8.08,25.61,32.6,34,0,3,2,2.8179,3.5007,1.3382,2.2471,39.4,27.0,18.0,IPL,2,WK,India,RHB,27
253802,6,117.8082192,1,1,MI,Bengaluru,field,daynight,0,-4,1,1.145,8.89,27.08,0.766,8.77,27.19,0.774,8.74,27.94,22.93333333,16,0,1,0,2.3917,2.0711,3.362,2.5491,29.8,20.9,10.2,IPL,3,BAT,India,RHB,20
234675,6,129.4117647,1,1,Daredevils,Wankhede,field,night,0,19,0,1.25,8.23,27.2,0.724,8.41,27.14,0.732,8.29,26.23,22.0,9,0,0,1,2.3917,2.2221,1.6402,2.1229,34.3,28.9,17.4,IPL,3,ALL,India,LHB,20
28081,6,127.7361319,1,0,RR,DY Patil,field,night,0,59,0,0.645,8.17,24.42,0.944,8.52,25.17,0.961,8.24,25.72,32.76923077,35,0,3,2,2.8179,3.5007,1.3382,1.5457,33.6,27.2,18.1,IPL,2,WK,India,RHB,27
234675,6,129.8387097,2,1,CSK,DY Patil,field,night,1,-4,0,0.645,8.17,24.42,1.058,8.42,26.93,0.961,8.2,24.72,20.125,10,0,0,1,2.3917,2.2221,1.3382,1.0927,33.6,27.2,18.1,IPL,3,ALL,India,LHB,20
290630,6,131.0043668,2,1,Goa,Visakhapatnam,bat,day,0,68,0,0.755,8.08,21.23,1.23,7.59,22.87,0.926,7.79,21.89,27.27272727,13,1,1,2,2.3917,3.5007,3.7554,3.4015,32.6,27.3,10.1,Other,1,BAT,India,RHB,20
